iteration,reward,episode_length,height_reward,upright_reward,tipped_over,collapsed,exploration,steps_per_second,speed_error,turn_error,stepping,leg_swing,dragging,ground_covered,landing_force,Curriculum/ease_in_effort/weight,Curriculum/ease_in_landing/weight,Curriculum/ease_in_shake/weight,Curriculum/ease_in_smoothness/weight,Curriculum/ease_in_steadiness/weight,Curriculum/ease_in_straightness/weight,Episode_Reward/alive,Episode_Reward/effort,Episode_Reward/end_stops,Episode_Reward/even_stance,Episode_Reward/fell_over,Episode_Reward/hard_landing,Episode_Reward/jitter,Episode_Reward/joint_shock,Episode_Reward/landing_speed,Episode_Reward/posture,Episode_Reward/rocking,Episode_Reward/shaking,Episode_Reward/skidding,Episode_Reward/swing_height,Episode_Reward/track_speed,Episode_Reward/track_turn,Episode_Reward/twitching,Episode_Reward/veering,Episode_Reward/wandering,Episode_Termination/time_out,Metrics/posture/error_height,Metrics/posture/error_pitch,Metrics/posture/error_roll
7518,101.159592,518.460022,0.404648,0.430348,0.0,0.0,0.055681,80141.0,0.073112,0.122129,0.096373,0.179754,-0.027654,0.355729,6.900548,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.258251,-0.077829,-0.004283,0.0,0.0,-0.037723,-0.009099,-0.007,-0.013224,0.431986,-0.020035,-0.052784,-0.003921,-0.012012,0.964454,2.292636,-0.040434,-0.000565,-0.07868,4.708333,0.02377,0.088839,0.147963
7519,105.77417,541.530029,0.450285,0.461935,0.0,0.0,0.055577,77976.0,0.080786,0.131208,0.107297,0.205892,-0.033819,0.384676,6.913766,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.270251,-0.076224,-0.007529,0.0,0.0,-0.047111,-0.010342,-0.008946,-0.015914,0.446437,-0.022347,-0.061984,-0.004288,-0.016209,0.999671,2.38396,-0.048853,-0.00043,-0.079978,4.291667,0.019813,0.075296,0.125795
7520,109.95282,562.530029,0.47873,0.470997,0.041667,0.0,0.055521,79424.0,0.076452,0.137376,0.102783,0.182044,-0.030225,0.372099,6.86867,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.28204,-0.07887,-0.006281,0.0,-0.000278,-0.041322,-0.00997,-0.007279,-0.014236,0.476801,-0.022147,-0.055862,-0.00394,-0.014299,1.059695,2.500902,-0.042625,-0.000492,-0.093401,4.0,0.016288,0.078147,0.141195
7521,114.701019,588.830017,0.474061,0.491735,0.0,0.0,0.055401,79747.0,0.081073,0.146135,0.107505,0.196675,-0.031477,0.398277,6.873254,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.294252,-0.086032,-0.004158,0.0,0.0,-0.041859,-0.010401,-0.008212,-0.014886,0.494733,-0.024515,-0.062804,-0.004716,-0.013273,1.103726,2.590781,-0.044156,-0.000434,-0.067094,4.583333,0.019283,0.08003,0.126989
7522,116.986618,613.429993,0.486335,0.503639,0.0,0.0,0.055258,78850.0,0.090748,0.14931,0.110171,0.22194,-0.037424,0.414792,6.886189,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.306252,-0.096721,-0.007836,0.0,0.0,-0.050683,-0.011752,-0.01047,-0.017916,0.501648,-0.025298,-0.066749,-0.005232,-0.01609,1.133988,2.699998,-0.055891,-0.000506,-0.153417,4.458333,0.021416,0.084983,0.134543
7523,121.691475,630.799988,0.521814,0.556342,0.041667,0.0,0.055218,77815.0,0.089529,0.149205,0.114921,0.206201,-0.033494,0.422039,6.864675,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.315643,-0.096244,-0.00541,0.0,-0.000417,-0.046237,-0.011006,-0.008327,-0.015527,0.535844,-0.0253,-0.0613,-0.004929,-0.015901,1.178909,2.804697,-0.04818,-0.000594,-0.158172,3.875,0.019097,0.081446,0.115594
7524,126.908058,660.030029,0.533744,0.554891,0.0,0.0,0.055149,79066.0,0.091614,0.156508,0.125264,0.224302,-0.037736,0.438591,6.892028,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.330307,-0.095818,-0.008471,0.0,0.0,-0.051715,-0.012175,-0.009909,-0.01836,0.547973,-0.025937,-0.06842,-0.004758,-0.016862,1.2379,2.931958,-0.054916,-0.000557,-0.151321,4.043478,0.025641,0.078481,0.135708
7525,132.849457,684.799988,0.56438,0.569193,0.0,0.0,0.055188,81409.0,0.093408,0.166401,0.118831,0.224892,-0.037468,0.444077,6.900093,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.342068,-0.104666,-0.006932,0.0,0.0,-0.051123,-0.01247,-0.009862,-0.01853,0.57208,-0.027291,-0.070437,-0.005246,-0.016551,1.286902,3.026012,-0.055284,-0.000552,-0.12466,5.043478,0.019775,0.089032,0.129581
7526,136.313736,709.679993,0.595024,0.603394,0.0,0.0,0.055179,79619.0,0.094396,0.17007,0.1301,0.23752,-0.040304,0.496024,6.854333,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.354253,-0.112594,-0.006541,0.0,0.0,-0.054077,-0.012683,-0.009943,-0.018759,0.598217,-0.027285,-0.068074,-0.005319,-0.017162,1.33855,3.146387,-0.056465,-0.000764,-0.20149,4.25,0.018256,0.072006,0.099578
7527,140.421219,734.630005,0.593001,0.622937,0.0,0.0,0.05521,81910.0,0.100446,0.175797,0.132094,0.24739,-0.040475,0.496376,6.845669,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.366286,-0.114144,-0.006841,0.0,0.0,-0.054065,-0.013086,-0.010473,-0.019307,0.613904,-0.028109,-0.073799,-0.005265,-0.016955,1.372748,3.253819,-0.059252,-0.000903,-0.18921,4.608696,0.022713,0.074476,0.121175
