iteration,reward,episode_length,height_reward,upright_reward,tipped_over,collapsed,exploration,steps_per_second,speed_error,turn_error,stepping,leg_swing,dragging,ground_covered,landing_force
82,66.31292,992.190002,0.918638,0.938337,0.045455,0.0,0.678879,76020.0,0.307779,1.523436,0.110762,0.447777,-0.115679,0.499354,8.303009
83,64.592506,984.280029,0.921129,0.947269,0.086957,0.0,0.677434,74008.0,0.306587,1.530483,0.10997,0.431537,-0.111731,0.495555,8.295391
84,64.052383,990.22998,0.920775,0.943362,0.083333,0.0,0.6763,72075.0,0.309922,1.550572,0.116948,0.439929,-0.113788,0.474892,8.276588
85,66.897659,1000.0,0.928372,0.951325,0.0,0.0,0.675601,64153.0,0.310502,1.556272,0.118307,0.449776,-0.116997,0.515459,8.284124
86,69.675598,1000.0,0.925994,0.949705,0.041667,0.0,0.674959,69878.0,0.307417,1.557823,0.116905,0.449814,-0.115667,0.499704,8.260524
87,68.186455,990.780029,0.921839,0.945425,0.083333,0.0,0.674179,72175.0,0.304213,1.533398,0.118169,0.443165,-0.114331,0.515943,8.261902
88,66.779785,1000.0,0.92851,0.953066,0.0,0.0,0.672901,72181.0,0.309473,1.546319,0.122951,0.450678,-0.116818,0.512488,8.29304
89,68.551094,1000.0,0.925419,0.950714,0.083333,0.0,0.671781,74344.0,0.304232,1.540365,0.12039,0.443703,-0.113049,0.516942,8.276119
90,69.305359,1000.0,0.926399,0.95059,0.166667,0.0,0.6702,70472.0,0.302416,1.5293,0.121155,0.441911,-0.113467,0.537955,8.301338
91,72.004402,1000.0,0.925965,0.950562,0.041667,0.0,0.668492,62931.0,0.297696,1.529708,0.116898,0.42853,-0.109515,0.529932,8.307804
92,69.872887,1000.0,0.928377,0.951576,0.041667,0.0,0.666895,67553.0,0.301214,1.537343,0.121625,0.443169,-0.112931,0.538162,8.281238
93,69.83728,983.330017,0.922267,0.944478,0.125,0.0,0.665378,72540.0,0.295161,1.521393,0.119229,0.447598,-0.11341,0.545748,8.273192
94,67.792366,990.590027,0.922889,0.945747,0.041667,0.0,0.664059,70765.0,0.297836,1.514695,0.123262,0.452676,-0.115384,0.514482,8.275859
95,67.900909,987.119995,0.921575,0.947823,0.166667,0.0,0.662517,73209.0,0.300696,1.527145,0.128199,0.440938,-0.112978,0.546062,8.296757
