iteration,reward,episode_length,height_reward,upright_reward,tipped_over,collapsed,exploration,steps_per_second,speed_error,turn_error,stepping,leg_swing,dragging,ground_covered,landing_force,Curriculum/ease_in_effort/weight,Curriculum/ease_in_landing/weight,Curriculum/ease_in_shake/weight,Curriculum/ease_in_smoothness/weight,Curriculum/ease_in_steadiness/weight,Curriculum/ease_in_straightness/weight,Episode_Reward/alive,Episode_Reward/effort,Episode_Reward/end_stops,Episode_Reward/even_stance,Episode_Reward/fell_over,Episode_Reward/hard_landing,Episode_Reward/hips_home,Episode_Reward/jitter,Episode_Reward/joint_shock,Episode_Reward/landing_speed,Episode_Reward/posture,Episode_Reward/rocking,Episode_Reward/shaking,Episode_Reward/skidding,Episode_Reward/swing_height,Episode_Reward/track_speed,Episode_Reward/track_turn,Episode_Reward/twitching,Episode_Reward/veering,Episode_Reward/wandering,Episode_Termination/nose_dived,Episode_Termination/time_out,Metrics/posture/error_height,Metrics/posture/error_pitch,Metrics/posture/error_roll
7518,100.04538,518.460022,0.399984,0.430591,0.0,0.0,0.056607,78837.0,0.080561,0.123265,0.097059,0.191057,-0.030651,0.356308,7.241706,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.258251,-0.078568,-0.006452,0.0,0.0,-0.04184,0.0,-0.009975,-0.008162,-0.014677,0.423637,-0.020613,-0.054116,-0.004209,-0.013183,0.939444,2.287074,-0.046937,-0.001063,-0.076327,0.0,4.708333,0.02471,0.089183,0.148682
7519,103.51963,541.530029,0.446471,0.462208,0.0,0.0,0.056568,76402.0,0.098989,0.133513,0.105205,0.214322,-0.038435,0.374706,7.194648,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.270251,-0.077886,-0.010902,0.0,0.0,-0.053261,0.0,-0.011622,-0.010557,-0.018431,0.435455,-0.023801,-0.06985,-0.005298,-0.018843,0.943582,2.368977,-0.057905,-0.000807,-0.082117,0.0,4.291667,0.019966,0.074071,0.125598
7520,108.710968,563.099976,0.476427,0.471148,0.0,0.0,0.056527,79218.0,0.087673,0.136491,0.102035,0.18775,-0.033254,0.367058,7.193344,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.282252,-0.079768,-0.008223,0.0,0.0,-0.046267,0.0,-0.010762,-0.008332,-0.015615,0.468843,-0.021796,-0.058731,-0.004173,-0.015791,1.029583,2.505269,-0.048918,-0.000975,-0.089311,0.0,4.0,0.016182,0.074848,0.138714
7521,113.819534,588.830017,0.471393,0.49196,0.0,0.0,0.056511,78013.0,0.088332,0.147051,0.108772,0.205192,-0.034193,0.396557,7.193053,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.294252,-0.086962,-0.006182,0.0,0.0,-0.045803,0.0,-0.01117,-0.009308,-0.016105,0.486604,-0.024506,-0.063632,-0.004688,-0.014252,1.083745,2.591302,-0.049862,-0.000881,-0.067956,0.0,4.583333,0.020341,0.080194,0.125467
7522,115.685829,613.429993,0.480999,0.504143,0.0,0.0,0.056453,78498.0,0.108473,0.149604,0.109545,0.231028,-0.04191,0.407704,7.182729,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.306252,-0.097645,-0.010523,0.0,0.0,-0.057137,0.0,-0.013091,-0.01224,-0.020345,0.491289,-0.026193,-0.070538,-0.005754,-0.018121,1.080959,2.692998,-0.065357,-0.001105,-0.128719,0.0,4.458333,0.021759,0.084082,0.134727
7523,121.577911,635.679993,0.5234,0.561885,0.0,0.0,0.056453,78556.0,0.09522,0.148773,0.11426,0.214352,-0.036422,0.422062,7.181472,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.318253,-0.09715,-0.007124,0.0,0.0,-0.050522,0.0,-0.011952,-0.009426,-0.017087,0.532258,-0.024283,-0.062872,-0.004811,-0.017325,1.167363,2.833457,-0.054879,-0.00121,-0.163198,0.0,3.875,0.019978,0.083084,0.10592
7524,124.94458,660.030029,0.531268,0.555009,0.0,0.0,0.056427,80067.0,0.108478,0.158533,0.125521,0.233171,-0.04278,0.424355,7.195781,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.330307,-0.097453,-0.011358,0.0,0.0,-0.058643,0.0,-0.013737,-0.011783,-0.020968,0.535997,-0.027239,-0.073702,-0.00554,-0.018687,1.195871,2.919867,-0.065455,-0.001117,-0.137315,0.0,4.043478,0.024385,0.078983,0.136475
7525,131.487106,684.799988,0.559594,0.569852,0.0,0.0,0.056622,80994.0,0.105808,0.168904,0.118863,0.238316,-0.04261,0.440121,7.237697,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.342068,-0.105949,-0.010324,0.0,0.0,-0.057988,0.0,-0.013979,-0.011951,-0.021167,0.559281,-0.027822,-0.072696,-0.006147,-0.01877,1.249301,3.018734,-0.065992,-0.001172,-0.106974,0.0,5.043478,0.020066,0.083025,0.130161
7526,135.04631,709.679993,0.590635,0.603803,0.0,0.0,0.056728,79416.0,0.105139,0.171037,0.130683,0.251787,-0.044846,0.489147,7.219387,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.354253,-0.113144,-0.009695,0.0,0.0,-0.060065,0.0,-0.01402,-0.011755,-0.021292,0.586662,-0.027842,-0.071327,-0.005578,-0.018938,1.303114,3.140983,-0.066622,-0.00159,-0.188773,0.0,4.25,0.019771,0.073265,0.102992
7527,138.842438,734.630005,0.587838,0.623431,0.0,0.0,0.056826,78788.0,0.108153,0.176368,0.132834,0.262862,-0.045467,0.501833,7.167489,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.366286,-0.115259,-0.009051,0.0,0.0,-0.061011,0.0,-0.014547,-0.012433,-0.022019,0.601083,-0.028823,-0.076742,-0.005894,-0.018582,1.347838,3.247707,-0.070062,-0.001756,-0.186733,0.0,4.608696,0.02176,0.070287,0.117489
