iteration,reward,episode_length,height_reward,tilt_penalty,tipped_over,collapsed,exploration,steps_per_second
157,58.016205,964.890015,1.869072,-0.028176,0.272727,0.0,0.404336,52883.0
158,57.646736,957.169983,1.81389,-0.029956,0.375,0.0,0.402464,50430.0
159,57.388535,955.369995,1.83317,-0.028208,0.363636,0.0,0.399828,53154.0
160,55.888039,926.630005,1.800609,-0.027247,0.347826,0.0,0.398303,45461.0
161,55.947094,922.26001,1.778658,-0.024098,0.217391,0.0,0.396431,56936.0
162,56.810997,934.200012,1.767556,-0.028033,0.363636,0.0,0.395709,55413.0
163,59.126595,966.390015,1.870702,-0.026007,0.304348,0.0,0.394372,50278.0
164,58.728294,960.590027,1.832844,-0.027378,0.304348,0.0,0.391707,41564.0
165,59.72728,973.530029,1.886468,-0.027333,0.130435,0.0,0.39042,37426.0
166,60.219612,977.539978,1.907356,-0.026129,0.136364,0.0,0.38765,37357.0
167,60.633511,978.669983,1.906872,-0.025512,0.086957,0.0,0.385674,42827.0
168,59.808678,968.679993,1.853678,-0.028624,0.166667,0.0,0.383798,46295.0
169,60.460941,978.26001,1.891544,-0.026952,0.130435,0.0,0.381462,56194.0
170,61.29747,984.599976,1.893448,-0.027355,0.173913,0.0,0.380415,55804.0
171,59.985367,958.530029,1.841543,-0.022839,0.347826,0.0,0.378813,52149.0
172,61.145283,976.599976,1.860978,-0.025453,0.125,0.0,0.37654,52852.0
173,61.806622,987.299988,1.886834,-0.026648,0.173913,0.0,0.37552,56017.0
174,60.235947,958.659973,1.823345,-0.024325,0.26087,0.0,0.37362,55333.0
175,61.251995,971.599976,1.920471,-0.025464,0.086957,0.0,0.371206,52792.0
176,62.578701,991.559998,1.919136,-0.025427,0.090909,0.0,0.370618,47834.0
177,61.349213,971.030029,1.880016,-0.025382,0.208333,0.0,0.367797,51682.0
178,61.709091,973.539978,1.881974,-0.025901,0.125,0.0,0.365187,50686.0
179,62.651054,984.669983,1.913212,-0.022518,0.083333,0.0,0.363926,48748.0
180,61.380905,965.859985,1.882925,-0.025438,0.166667,0.0,0.36219,50304.0
181,62.618599,983.099976,1.886193,-0.028097,0.181818,0.0,0.359019,51767.0
182,63.398685,994.309998,1.938394,-0.022613,0.0,0.0,0.357043,50053.0
183,63.644588,993.75,1.918464,-0.024768,0.125,0.0,0.354652,44916.0
184,64.016922,996.049988,1.934246,-0.024563,0.043478,0.0,0.35225,48935.0
185,63.622131,984.909973,1.913103,-0.023123,0.181818,0.0,0.349678,46879.0
186,64.216995,995.609985,1.929723,-0.029147,0.045455,0.0,0.34784,58578.0
187,63.111992,975.5,1.872426,-0.026084,0.166667,0.0,0.346951,56663.0
188,63.34618,976.099976,1.912176,-0.020571,0.090909,0.0,0.345041,57499.0
189,62.969212,972.640015,1.887808,-0.024817,0.166667,0.0,0.343441,56015.0
190,62.142685,957.450012,1.902409,-0.025897,0.125,0.0,0.342661,49362.0
191,63.272411,974.26001,1.899622,-0.023285,0.208333,0.0,0.339933,55039.0
192,64.956131,989.390015,1.946722,-0.022671,0.0,0.0,0.337082,54339.0
193,65.372139,993.900024,1.922968,-0.02146,0.083333,0.0,0.335449,51166.0
194,64.589989,981.789978,1.910213,-0.021101,0.130435,0.0,0.334057,52144.0
195,64.336578,976.330017,1.918748,-0.023075,0.130435,0.0,0.332107,52092.0
196,64.548935,977.849976,1.904584,-0.020641,0.086957,0.0,0.329874,52836.0
197,66.311211,999.320007,1.949231,-0.01903,0.041667,0.0,0.327567,48374.0
198,65.646904,993.599976,1.936335,-0.023077,0.095238,0.0,0.327659,58417.0
199,65.390121,987.450012,1.920801,-0.021916,0.130435,0.0,0.326348,56151.0
200,64.017242,963.820007,1.842686,-0.020351,0.26087,0.0,0.325614,50982.0
201,64.523552,967.960022,1.927208,-0.022883,0.173913,0.0,0.324787,50787.0
202,65.563622,982.690002,1.910683,-0.020947,0.043478,0.0,0.321589,51559.0
203,66.700409,998.210022,1.944971,-0.022156,0.043478,0.0,0.31967,50023.0
204,66.208496,987.179993,1.928678,-0.019708,0.095238,0.0,0.317433,47209.0
205,66.243217,987.599976,1.945962,-0.019121,0.043478,0.0,0.317041,50431.0
206,66.512581,993.880005,1.947172,-0.022663,0.045455,0.0,0.315831,51507.0
207,67.249855,999.97998,1.952954,-0.019211,0.045455,0.0,0.313696,53386.0
208,65.985191,979.280029,1.91216,-0.021166,0.136364,0.0,0.312451,54846.0
209,67.479851,996.429993,1.959728,-0.018461,0.0,0.0,0.31164,36729.0
210,67.704468,998.97998,1.94735,-0.020428,0.045455,0.0,0.309802,29196.0
211,68.20517,1000.0,1.958356,-0.019342,0.0,0.0,0.308349,36380.0
212,67.4608,993.539978,1.935748,-0.023645,0.041667,0.0,0.306046,53292.0
213,67.463127,990.47998,1.952949,-0.01918,0.086957,0.0,0.305444,50277.0
214,67.002228,982.97998,1.865706,-0.018251,0.083333,0.0,0.303466,49596.0
215,67.32457,983.659973,1.925739,-0.018288,0.041667,0.0,0.302125,54330.0
216,68.315033,999.039978,1.956079,-0.018943,0.086957,0.0,0.299689,55603.0
217,67.81855,990.460022,1.941941,-0.017159,0.086957,0.0,0.299272,49538.0
218,67.007378,978.369995,1.923808,-0.02019,0.130435,0.0,0.298337,55427.0
219,67.829224,985.609985,1.937994,-0.017774,0.041667,0.0,0.296944,55349.0
220,68.437759,992.960022,1.95044,-0.01671,0.041667,0.0,0.296161,53048.0
221,67.620216,981.809998,1.921178,-0.018059,0.208333,0.0,0.295682,50368.0
222,67.872841,982.969971,1.951445,-0.018569,0.043478,0.0,0.294699,50824.0
223,68.030273,985.359985,1.941644,-0.017877,0.086957,0.0,0.29328,56324.0
224,67.598686,977.52002,1.945287,-0.020065,0.086957,0.0,0.29139,49232.0
225,68.773453,992.01001,1.957264,-0.019107,0.043478,0.0,0.291249,49687.0
226,68.106613,980.690002,1.932655,-0.01774,0.142857,0.0,0.291104,49569.0
227,67.195137,967.780029,1.925122,-0.018727,0.130435,0.0,0.290148,49401.0
228,68.135765,979.859985,1.915219,-0.01889,0.173913,0.0,0.289839,52013.0
229,68.463203,982.789978,1.950262,-0.017884,0.041667,0.0,0.289416,50527.0
230,69.638512,1000.0,1.963081,-0.01981,0.0,0.0,0.287661,51757.0
231,69.451431,992.469971,1.940215,-0.017247,0.083333,0.0,0.287797,43954.0
232,69.451836,992.380005,1.953911,-0.017821,0.083333,0.0,0.287565,49549.0
233,68.90007,989.070007,1.944112,-0.019816,0.130435,0.0,0.286687,51183.0
234,69.38932,993.070007,1.943922,-0.019331,0.043478,0.0,0.285986,51865.0
235,69.752907,991.640015,1.934694,-0.016516,0.086957,0.0,0.285815,43896.0
236,69.801003,993.099976,1.962937,-0.02019,0.043478,0.0,0.284827,53799.0
237,69.782906,993.340027,1.950634,-0.018386,0.041667,0.0,0.283114,47551.0
238,69.721451,992.5,1.952582,-0.017011,0.086957,0.0,0.282007,53640.0
239,70.510727,1000.0,1.965408,-0.018843,0.0,0.0,0.281689,57756.0
240,69.966148,991.859985,1.954956,-0.016814,0.047619,0.0,0.28025,59214.0
241,70.094208,991.559998,1.951963,-0.016832,0.041667,0.0,0.280422,55500.0
242,69.456757,980.570007,1.904027,-0.017803,0.136364,0.0,0.279032,57112.0
243,70.790199,999.47998,1.965214,-0.01732,0.041667,0.0,0.277553,52494.0
244,70.929764,1000.0,1.968467,-0.017903,0.0,0.0,0.275525,57351.0
245,70.217728,990.159973,1.933995,-0.018496,0.086957,0.0,0.27421,46670.0
246,70.596817,994.98999,1.920516,-0.017376,0.045455,0.0,0.272614,57171.0
247,69.368248,980.049988,1.920381,-0.016616,0.208333,0.0,0.272765,50044.0
248,70.802895,996.099976,1.965698,-0.017893,0.045455,0.0,0.271564,57187.0
249,70.529144,992.090027,1.956739,-0.019469,0.095238,0.0,0.271751,59270.0
250,70.971024,995.679993,1.965324,-0.017131,0.043478,0.0,0.270655,52920.0
251,70.963272,996.780029,1.967189,-0.01977,0.0,0.0,0.269718,51184.0
252,70.707375,992.359985,1.94504,-0.020815,0.090909,0.0,0.269041,46288.0
253,71.32235,1000.0,1.97146,-0.017113,0.0,0.0,0.267712,40900.0
254,70.803223,991.26001,1.947789,-0.0187,0.083333,0.0,0.266783,32764.0
255,71.197632,998.080017,1.961875,-0.016826,0.043478,0.0,0.265054,33346.0
256,71.505478,1000.0,1.969088,-0.019146,0.0,0.0,0.263883,46690.0
257,71.589859,1000.0,1.968904,-0.018848,0.0,0.0,0.263136,50202.0
258,71.144859,993.01001,1.949751,-0.016869,0.045455,0.0,0.262061,45536.0
259,71.405151,994.880005,1.946694,-0.018853,0.083333,0.0,0.261153,51018.0
260,70.884132,987.780029,1.936548,-0.018675,0.086957,0.0,0.261009,43988.0
261,70.244934,980.200012,1.924167,-0.016923,0.166667,0.0,0.260719,55220.0
262,70.802917,986.650024,1.921782,-0.017117,0.083333,0.0,0.260997,52962.0
263,71.879013,997.73999,1.967211,-0.019382,0.041667,0.0,0.260695,53547.0
264,71.250008,990.369995,1.954431,-0.017702,0.086957,0.0,0.260171,52734.0
265,71.663033,998.409973,1.960133,-0.019688,0.043478,0.0,0.259077,47918.0
266,71.364479,992.440002,1.948395,-0.019063,0.041667,0.0,0.258748,55477.0
267,70.791519,985.25,1.941863,-0.022298,0.086957,0.0,0.258265,55236.0
268,70.666687,982.450012,1.929292,-0.018908,0.181818,0.0,0.25818,54856.0
269,70.631706,983.27002,1.940941,-0.024736,0.130435,0.0,0.258119,57091.0
270,70.829819,982.97998,1.964794,-0.01588,0.043478,0.0,0.256972,57219.0
271,71.345772,990.859985,1.967385,-0.022089,0.0,0.0,0.255837,57015.0
272,72.209572,999.619995,1.972009,-0.020178,0.041667,0.0,0.255085,47101.0
273,71.398026,986.98999,1.945573,-0.018858,0.125,0.0,0.253662,50807.0
274,72.132706,997.030029,1.968933,-0.021163,0.0,0.0,0.253668,53433.0
275,71.601372,989.940002,1.93269,-0.019414,0.090909,0.0,0.253864,52179.0
276,69.876022,968.539978,1.917737,-0.019159,0.25,0.0,0.254015,49566.0
277,71.292648,987.039978,1.944672,-0.019173,0.086957,0.0,0.253796,51702.0
278,71.812531,994.27002,1.965018,-0.020838,0.045455,0.0,0.253375,53153.0
279,71.991493,993.830017,1.957552,-0.021969,0.043478,0.0,0.252617,44600.0
280,70.652054,974.22998,1.885561,-0.01662,0.125,0.0,0.252602,49468.0
281,71.603233,985.169983,1.944391,-0.017439,0.090909,0.0,0.252403,53044.0
282,71.95488,990.869995,1.943014,-0.019215,0.045455,0.0,0.253007,53064.0
283,70.45919,971.75,1.913317,-0.02228,0.208333,0.0,0.25271,47575.0
284,71.756966,987.570007,1.955522,-0.016745,0.090909,0.0,0.251575,53328.0
285,71.848785,986.130005,1.947251,-0.021395,0.130435,0.0,0.252567,45314.0
286,71.131737,977.77002,1.868141,-0.017419,0.166667,0.0,0.252334,46727.0
287,71.259438,980.380005,1.956048,-0.017056,0.090909,0.0,0.252044,56782.0
288,72.767448,1000.0,1.974722,-0.016584,0.0,0.0,0.252281,54631.0
289,71.62822,982.919983,1.92825,-0.017488,0.086957,0.0,0.251536,55626.0
290,71.325371,978.929993,1.910535,-0.018352,0.130435,0.0,0.251364,54396.0
291,71.047096,976.23999,1.9419,-0.018706,0.136364,0.0,0.250958,57156.0
292,71.741158,982.25,1.952377,-0.016911,0.043478,0.0,0.251039,55686.0
293,71.888107,985.859985,1.949076,-0.019418,0.045455,0.0,0.250455,47924.0
294,71.720993,985.590027,1.920956,-0.020617,0.086957,0.0,0.250406,55579.0
295,72.212921,986.830017,1.965881,-0.017538,0.043478,0.0,0.250388,56921.0
296,71.446884,978.349976,1.910888,-0.019137,0.136364,0.0,0.249985,57876.0
297,72.918007,999.070007,1.973839,-0.019824,0.041667,0.0,0.249648,55272.0
298,71.386101,976.320007,1.935286,-0.018947,0.166667,0.0,0.250227,56683.0
299,71.663139,980.859985,1.95637,-0.019535,0.086957,0.0,0.249577,55100.0
300,72.321289,989.630005,1.941691,-0.019436,0.041667,0.0,0.249718,51266.0
301,71.87207,982.77002,1.94153,-0.021292,0.125,0.0,0.24918,42786.0
302,71.980614,983.359985,1.967752,-0.019546,0.043478,0.0,0.247349,50594.0
303,72.957504,996.909973,1.967099,-0.017554,0.083333,0.0,0.247127,50130.0
304,72.310326,987.26001,1.961855,-0.019885,0.083333,0.0,0.24656,50550.0
305,73.394691,997.77002,1.973089,-0.017422,0.041667,0.0,0.245025,50744.0
