iteration,reward,episode_length,height_reward,upright_reward,tipped_over,collapsed,exploration,steps_per_second,speed_error,turn_error,stepping,leg_swing,dragging,ground_covered,landing_force
83,70.371552,969.200012,0.901661,0.934005,0.0625,0.0,0.705822,55014.0,0.328775,1.753661,0.121896,0.96104,-0.126929,0.509807,8.384309
84,74.612869,996.049988,0.909512,0.945237,0.090909,0.0,0.705309,47601.0,0.328141,1.733573,0.118748,0.928706,-0.123593,0.505887,8.360725
85,70.827888,989.700012,0.905794,0.940436,0.125,0.0,0.705213,36509.0,0.333923,1.736957,0.12658,0.903315,-0.119691,0.493581,8.390095
86,72.394951,1000.0,0.908727,0.944743,0.0,0.0,0.703936,48261.0,0.326439,1.752234,0.123081,0.953896,-0.124287,0.508418,8.375607
87,73.498787,998.049988,0.905938,0.941222,0.041667,0.041667,0.704006,48067.0,0.325325,1.744772,0.122256,0.916996,-0.11882,0.488228,8.363958
88,73.293373,1000.0,0.910416,0.94537,0.0,0.0,0.702682,49024.0,0.326231,1.753719,0.126127,0.940372,-0.122322,0.522475,8.346634
89,72.325218,1000.0,0.90936,0.945703,0.0,0.0,0.700803,48788.0,0.324535,1.72637,0.128364,0.925808,-0.120876,0.50308,8.396893
90,74.452759,1000.0,0.908237,0.945707,0.0,0.0,0.700383,49509.0,0.31952,1.727686,0.121836,0.921552,-0.119415,0.505638,8.374277
91,72.0242,1000.0,0.910261,0.947566,0.0,0.0,0.69903,48578.0,0.324367,1.72595,0.129159,0.94112,-0.12166,0.508178,8.407339
92,74.169724,1000.0,0.90242,0.94104,0.083333,0.0,0.698202,45389.0,0.319561,1.733147,0.124904,0.937054,-0.120194,0.47527,8.335399
93,72.663277,982.049988,0.893186,0.931815,0.083333,0.0,0.695733,48990.0,0.31456,1.729938,0.127638,0.945246,-0.121571,0.487402,8.39308
94,75.530434,1000.0,0.907675,0.947257,0.0,0.0,0.693552,48981.0,0.319033,1.736676,0.12881,1.005684,-0.12827,0.497748,8.390807
95,74.359222,1000.0,0.907176,0.946813,0.0,0.0,0.691943,49073.0,0.31635,1.756688,0.125109,0.94858,-0.119527,0.502477,8.375163
96,73.586349,999.590027,0.911928,0.948563,0.045455,0.0,0.68996,52501.0,0.319949,1.725565,0.138132,0.952788,-0.124083,0.491938,8.373054
97,70.65596,998.799988,0.904434,0.941176,0.045455,0.0,0.688357,52446.0,0.321313,1.726084,0.133468,0.94728,-0.120152,0.469115,8.37874
98,75.632706,1000.0,0.911302,0.949781,0.0,0.0,0.687372,47785.0,0.316622,1.759684,0.130939,0.939213,-0.11988,0.483189,8.361076
99,74.564293,992.549988,0.884719,0.919007,0.086957,0.0,0.685631,51543.0,0.308715,1.686798,0.134873,0.921068,-0.117746,0.440315,8.365627
100,73.552528,992.549988,0.911662,0.946047,0.0,0.0,0.683689,52097.0,0.31905,1.74739,0.137249,1.017245,-0.1288,0.503817,8.383014
101,72.907761,993.22998,0.915503,0.952014,0.0,0.0,0.682893,50503.0,0.30979,1.727034,0.133873,0.90769,-0.115332,0.501984,8.340384
102,72.339104,993.429993,0.895681,0.935438,0.05,0.0,0.681353,49595.0,0.31358,1.73557,0.13926,1.034633,-0.128339,0.545181,8.378338
103,74.167664,985.929993,0.872685,0.909745,0.05,0.0,0.678537,49184.0,0.303641,1.669505,0.13121,0.944194,-0.118215,0.52501,8.353317
104,74.41468,992.5,0.902594,0.945364,0.0,0.0,0.67628,47775.0,0.309277,1.768164,0.136402,1.009618,-0.125898,0.528446,8.382338
105,69.830803,993.669983,0.894273,0.937283,0.047619,0.0,0.673324,31252.0,0.30682,1.713436,0.137042,1.003197,-0.123949,0.425396,8.357208
106,69.297073,993.669983,0.914825,0.953531,0.0,0.0,0.672112,34863.0,0.311779,1.727249,0.141752,1.051205,-0.132989,0.539723,8.346424
107,68.626793,993.669983,0.910564,0.952117,0.0,0.0,0.669877,37141.0,0.304728,1.745218,0.133094,0.941272,-0.116145,0.472792,8.369912
108,71.438324,1000.0,0.873851,0.922879,0.0,0.0,0.6675,42664.0,0.324635,1.740971,0.142953,0.99995,-0.122572,0.521207,8.360907
109,70.452591,987.349976,0.859793,0.901427,0.166667,0.0,0.665935,50758.0,0.301559,1.679309,0.136977,0.953429,-0.117692,0.456675,8.363753
110,68.000084,987.349976,0.911145,0.948829,0.0,0.0,0.664762,46057.0,0.310258,1.721999,0.145221,0.940423,-0.117228,0.43825,8.313929
111,69.036346,989.049988,0.90535,0.944227,0.055556,0.0,0.663094,59118.0,0.299007,1.750787,0.13551,0.978238,-0.118528,0.522027,8.358761
112,68.460526,996.039978,0.90031,0.947342,0.0,0.0,0.661247,59604.0,0.313234,1.747106,0.145915,0.989831,-0.123006,0.507964,8.37586
113,68.616814,996.039978,0.893135,0.935253,0.0,0.0,0.660314,68159.0,0.314155,1.754237,0.145362,0.982224,-0.120387,0.491954,8.36961
114,68.858307,996.039978,0.912427,0.954959,0.0,0.0,0.659221,57565.0,0.304268,1.730677,0.13919,0.98171,-0.120635,0.553083,8.384247
115,66.356117,1000.0,0.915106,0.951206,0.0,0.0,0.657704,59442.0,0.315232,1.732943,0.149438,0.969909,-0.118492,0.431811,8.372565
116,67.250343,1000.0,0.905778,0.948352,0.0,0.0,0.656601,63652.0,0.304808,1.737776,0.140767,0.992166,-0.11822,0.512393,8.398226
