iteration,reward,episode_length,height_reward,upright_reward,tipped_over,collapsed,exploration,steps_per_second,speed_error,turn_error,stepping,leg_swing,dragging,ground_covered,landing_force,Curriculum/ease_in_effort/weight,Curriculum/ease_in_landing/weight,Curriculum/ease_in_shake/weight,Curriculum/ease_in_smoothness/weight,Curriculum/ease_in_steadiness/weight,Curriculum/ease_in_straightness/weight,Episode_Reward/alive,Episode_Reward/effort,Episode_Reward/end_stops,Episode_Reward/even_stance,Episode_Reward/fell_over,Episode_Reward/hard_landing,Episode_Reward/jitter,Episode_Reward/joint_shock,Episode_Reward/landing_speed,Episode_Reward/posture,Episode_Reward/rocking,Episode_Reward/shaking,Episode_Reward/skidding,Episode_Reward/swing_height,Episode_Reward/track_speed,Episode_Reward/track_turn,Episode_Reward/twitching,Episode_Reward/veering,Episode_Reward/wandering,Episode_Termination/nose_dived,Episode_Termination/out_of_bounds,Episode_Termination/time_out,Metrics/posture/error_height,Metrics/posture/error_pitch,Metrics/posture/error_roll
7518,84.49305,486.309998,0.386788,0.4026,0.75,0.0,0.06731,41981.0,0.109364,0.149506,0.076672,0.168871,-0.031214,0.287932,10.729228,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.236753,-0.072953,-0.011258,0.0,-0.007347,-0.059961,-0.01298,-0.010556,-0.01694,0.378689,-0.068042,-0.108329,-0.008202,-0.010828,0.804843,1.917553,-0.054822,-0.00265,-0.119738,0.208333,0.166667,3.916667,0.151825,0.171202,0.222484
7519,88.084534,509.540009,0.415807,0.408346,0.5,0.041667,0.067561,49155.0,0.121014,0.155624,0.070672,0.155086,-0.029487,0.267193,10.977959,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.250077,-0.083076,-0.012279,0.0,-0.00551,-0.061909,-0.012766,-0.009529,-0.016649,0.400822,-0.059439,-0.097275,-0.008976,-0.011418,0.835764,2.049177,-0.052012,-0.002838,-0.092458,0.333333,0.083333,3.833333,0.154337,0.178749,0.191212
7520,87.791565,520.080017,0.417051,0.426841,0.916667,0.083333,0.06786,49617.0,0.138426,0.167186,0.083681,0.200221,-0.038261,0.332451,10.75246,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.259365,-0.088376,-0.012406,0.0,-0.009104,-0.07434,-0.015003,-0.012601,-0.020211,0.407999,-0.072662,-0.110728,-0.009784,-0.012513,0.842394,2.076904,-0.067719,-0.001805,-0.095041,0.375,0.291667,4.125,0.197772,0.170504,0.27031
7521,93.045616,545.849976,0.440507,0.441844,0.583333,0.083333,0.068101,48387.0,0.124581,0.174734,0.089783,0.198457,-0.037211,0.344803,10.855736,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.272695,-0.088222,-0.01035,0.0,-0.007196,-0.071053,-0.015034,-0.011834,-0.019889,0.437416,-0.07353,-0.111758,-0.009648,-0.01308,0.929415,2.213491,-0.064789,-0.003539,-0.119731,0.458333,0.5,4.166667,0.182667,0.165068,0.203606
7522,96.503242,569.909973,0.43983,0.456686,0.916667,0.041667,0.06829,49267.0,0.137523,0.186236,0.097405,0.204173,-0.038028,0.359737,10.881793,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.280031,-0.088679,-0.014606,0.0,-0.008874,-0.074323,-0.015535,-0.012358,-0.020116,0.439385,-0.085021,-0.125423,-0.010229,-0.013433,0.941357,2.246751,-0.065199,-0.003089,-0.106782,0.333333,0.333333,3.75,0.190268,0.157338,0.250899
7523,98.190292,571.429993,0.466933,0.458592,0.666667,0.041667,0.068503,49459.0,0.122906,0.177312,0.085756,0.183461,-0.035373,0.318594,10.594336,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.283339,-0.092019,-0.009953,0.0,-0.008288,-0.068299,-0.014834,-0.011162,-0.019199,0.46037,-0.078401,-0.115626,-0.009421,-0.012982,0.974015,2.311363,-0.061484,-0.002961,-0.119294,0.625,0.375,3.625,0.170911,0.174964,0.215634
7524,102.785133,603.940002,0.503465,0.494469,0.541667,0.083333,0.068785,49645.0,0.148798,0.19286,0.095823,0.220195,-0.041791,0.382936,10.793629,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.307902,-0.10226,-0.016547,0.0,-0.005894,-0.079757,-0.017109,-0.013346,-0.022994,0.4882,-0.074111,-0.120532,-0.009944,-0.014766,1.030296,2.489405,-0.073332,-0.018449,-0.165159,0.166667,0.541667,3.791667,0.206264,0.163918,0.209853
7525,102.788498,609.650024,0.49346,0.49618,0.625,0.041667,0.068997,49201.0,0.164744,0.204594,0.103287,0.232926,-0.043544,0.392544,10.574867,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.306509,-0.102471,-0.014488,0.0,-0.007523,-0.085378,-0.017559,-0.014224,-0.023054,0.483531,-0.085957,-0.124666,-0.011564,-0.015733,1.007484,2.435738,-0.075968,-0.006866,-0.191235,0.25,0.458333,3.75,0.24075,0.139607,0.24417
7526,105.419952,625.929993,0.500384,0.501015,0.708333,0.041667,0.0692,48809.0,0.143453,0.202741,0.099291,0.216137,-0.040269,0.363805,10.698252,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.313282,-0.103893,-0.013769,0.0,-0.00728,-0.080183,-0.016849,-0.013133,-0.022137,0.493412,-0.078399,-0.115337,-0.010888,-0.013871,1.06754,2.524506,-0.071788,-0.001711,-0.209073,0.416667,0.375,3.875,0.212631,0.215242,0.242773
7527,115.033241,670.280029,0.536322,0.544641,0.625,0.041667,0.069463,49605.0,0.160432,0.216717,0.110498,0.251447,-0.045403,0.428007,10.749306,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.337173,-0.106122,-0.01393,0.0,-0.006606,-0.086423,-0.018589,-0.014041,-0.024328,0.537657,-0.094101,-0.137168,-0.011964,-0.017771,1.128044,2.696211,-0.078639,-0.002662,-0.240757,0.375,0.333333,4.166667,0.205661,0.153538,0.220562
