iteration,reward,episode_length,height_reward,upright_reward,tipped_over,collapsed,exploration,steps_per_second,speed_error,turn_error,stepping,leg_swing,dragging,ground_covered,landing_force,Curriculum/ease_in_effort/weight,Curriculum/ease_in_landing/weight,Curriculum/ease_in_shake/weight,Curriculum/ease_in_smoothness/weight,Curriculum/ease_in_steadiness/weight,Curriculum/ease_in_straightness/weight,Episode_Reward/alive,Episode_Reward/effort,Episode_Reward/end_stops,Episode_Reward/fell_over,Episode_Reward/hard_landing,Episode_Reward/jitter,Episode_Reward/joint_shock,Episode_Reward/landing_speed,Episode_Reward/posture,Episode_Reward/rocking,Episode_Reward/shaking,Episode_Reward/skidding,Episode_Reward/swing_height,Episode_Reward/track_speed,Episode_Reward/track_turn,Episode_Reward/twitching,Episode_Reward/veering,Episode_Reward/wandering,Episode_Termination/nose_dived,Episode_Termination/time_out,Metrics/posture/error_height,Metrics/posture/error_pitch,Metrics/posture/error_roll
21,4.217699,446.799988,0.28949,0.336079,1.166667,0.0,0.632903,64741.0,0.215583,0.744804,0.045944,0.167439,-0.048671,0.094729,6.377515,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.225152,-0.002024,-0.003764,-0.010996,-0.116753,-0.834669,-0.073427,-0.012271,0.338684,-0.11184,-0.038359,-0.082182,-0.05386,0.326436,0.177231,-0.292365,-0.016766,-0.082519,0.0,2.958333,0.027011,0.147722,0.281306
22,5.784338,475.959991,0.305617,0.366665,1.136364,0.0,0.624812,68272.0,0.221801,0.767454,0.043156,0.180697,-0.049602,0.117822,6.38129,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.240257,-0.00218,-0.004323,-0.010848,-0.126098,-0.866524,-0.076605,-0.013137,0.354863,-0.11711,-0.039751,-0.086966,-0.057318,0.384923,0.194819,-0.304586,-0.020427,-0.123448,0.0,2.590909,0.031654,0.112385,0.273333
23,5.485931,482.209991,0.33883,0.358813,0.85,0.0,0.617988,68901.0,0.22446,0.772308,0.044501,0.186673,-0.050044,0.126813,6.374261,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.23226,-0.001976,-0.00323,-0.010852,-0.115822,-0.830587,-0.073756,-0.01241,0.351321,-0.118004,-0.042749,-0.089133,-0.052415,0.335055,0.175367,-0.291666,-0.041412,-0.163482,0.0,2.3,0.027677,0.136229,0.302026
24,6.28686,525.23999,0.359123,0.397674,0.73913,0.0,0.61345,66489.0,0.256246,0.904716,0.046939,0.180439,-0.053643,0.110091,6.3808,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.266749,-0.002312,-0.004537,-0.008683,-0.131494,-0.947274,-0.081755,-0.014475,0.392361,-0.131543,-0.046578,-0.09668,-0.060103,0.395686,0.202134,-0.332841,-0.0331,-0.11515,0.0,2.956522,0.030797,0.133949,0.243587
25,5.885803,540.950012,0.368782,0.419745,0.583333,0.0,0.604845,65849.0,0.279358,0.921215,0.05194,0.21729,-0.057516,0.123392,6.37949,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.276261,-0.002455,-0.004934,-0.006948,-0.145591,-0.956506,-0.083747,-0.014911,0.425052,-0.132723,-0.045586,-0.095748,-0.067394,0.353034,0.22564,-0.337255,-0.040466,-0.151684,0.0,2.666667,0.026647,0.147731,0.217289
26,7.514925,579.98999,0.364036,0.433317,0.727273,0.0,0.597427,67884.0,0.258315,0.943092,0.051763,0.190831,-0.053709,0.12058,6.382809,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.287829,-0.002463,-0.004639,-0.010199,-0.130358,-0.968881,-0.08601,-0.015157,0.407724,-0.136337,-0.048666,-0.099628,-0.059378,0.474947,0.232216,-0.342257,-0.027311,-0.138161,0.0,2.454545,0.033426,0.11548,0.284616
27,10.167985,631.880005,0.400087,0.480788,0.565217,0.0,0.591875,66424.0,0.296844,1.050918,0.061466,0.238082,-0.065407,0.144385,6.348395,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.318312,-0.00279,-0.006364,-0.005043,-0.156641,-1.079345,-0.097503,-0.016886,0.473258,-0.153185,-0.052618,-0.111503,-0.071656,0.495616,0.258839,-0.380966,-0.027666,-0.118535,0.0,3.086957,0.032661,0.125784,0.201365
28,11.180452,616.789978,0.3982,0.468107,0.636364,0.0,0.585897,65990.0,0.298851,1.001983,0.061709,0.231175,-0.062201,0.143308,6.345873,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.307972,-0.002627,-0.005461,-0.006511,-0.150451,-1.016485,-0.090267,-0.016101,0.463628,-0.141914,-0.052274,-0.101846,-0.068138,0.443045,0.257165,-0.359572,-0.042066,-0.099966,0.0,3.318182,0.029834,0.146054,0.213081
29,11.338473,631.559998,0.426522,0.508852,0.26087,0.0,0.579447,66823.0,0.312332,1.051905,0.062376,0.229467,-0.062084,0.143573,6.354271,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.328478,-0.002811,-0.00609,-0.005072,-0.150017,-1.070084,-0.101335,-0.017621,0.473209,-0.15416,-0.058003,-0.113669,-0.067876,0.494754,0.283786,-0.378739,-0.046139,-0.127176,0.0,2.695652,0.034708,0.131583,0.186812
30,11.628592,646.640015,0.392847,0.485637,0.608696,0.0,0.572886,66968.0,0.280623,0.982173,0.058747,0.23175,-0.058502,0.148839,6.355076,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.306847,-0.002587,-0.005791,-0.008957,-0.143165,-0.97739,-0.08776,-0.015923,0.447275,-0.136882,-0.050828,-0.100561,-0.066391,0.462576,0.270178,-0.346652,-0.052507,-0.183062,0.0,2.391304,0.032459,0.113818,0.244282
