iteration,reward,episode_length,height_reward,upright_reward,tipped_over,collapsed,exploration,steps_per_second,speed_error,turn_error,stepping,leg_swing,dragging,ground_covered,landing_force,Curriculum/ease_in_effort/weight,Curriculum/ease_in_landing/weight,Curriculum/ease_in_shake/weight,Curriculum/ease_in_smoothness/weight,Curriculum/ease_in_steadiness/weight,Curriculum/ease_in_straightness/weight,Episode_Reward/alive,Episode_Reward/effort,Episode_Reward/end_stops,Episode_Reward/even_stance,Episode_Reward/fell_over,Episode_Reward/hard_landing,Episode_Reward/jitter,Episode_Reward/joint_shock,Episode_Reward/landing_speed,Episode_Reward/posture,Episode_Reward/rocking,Episode_Reward/shaking,Episode_Reward/skidding,Episode_Reward/swing_height,Episode_Reward/track_speed,Episode_Reward/track_turn,Episode_Reward/twitching,Episode_Reward/veering,Episode_Reward/wandering,Episode_Termination/nose_dived,Episode_Termination/out_of_bounds,Episode_Termination/time_out,Metrics/posture/error_height,Metrics/posture/error_pitch,Metrics/posture/error_roll
7527,118.387115,679.140015,0.53748,0.559674,0.583333,0.041667,0.069215,54738.0,0.151183,0.202248,0.113032,0.246952,-0.045658,0.43356,10.83238,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.338303,-0.106206,-0.013671,0.0,-0.006428,-0.09819,-0.01744,-0.013902,-0.025043,0.54155,-0.075303,-0.120318,-0.010849,-0.021406,1.15465,2.802254,-0.074889,-0.002532,-0.170097,0.333333,0.0,4.541667,0.131207,0.160604,0.186812
7528,123.12883,707.169983,0.547751,0.558697,0.541667,0.0,0.069484,54020.0,0.178645,0.205497,0.106482,0.231707,-0.043086,0.401799,10.888191,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.349881,-0.111248,-0.0162,0.0,-0.006681,-0.102455,-0.017174,-0.013306,-0.025173,0.557587,-0.068566,-0.104446,-0.009634,-0.022284,1.176215,2.92518,-0.073103,-0.002782,-0.194042,0.291667,0.041667,3.625,0.102428,0.163201,0.23674
7529,130.87944,736.200012,0.597939,0.629996,0.458333,0.0,0.069697,54691.0,0.144474,0.221162,0.117541,0.238186,-0.044913,0.432652,11.05899,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.372628,-0.110988,-0.013152,0.0,-0.003873,-0.100249,-0.017603,-0.012716,-0.024549,0.599508,-0.062599,-0.110104,-0.009146,-0.02547,1.318212,3.12939,-0.071826,-0.002536,-0.173581,0.125,0.083333,3.958333,0.107703,0.128823,0.163478
7530,129.514008,744.929993,0.601223,0.610561,0.583333,0.041667,0.069809,54991.0,0.153351,0.226,0.122271,0.274548,-0.050565,0.477434,10.937357,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.36991,-0.115219,-0.018018,0.0,-0.007125,-0.111786,-0.019483,-0.015679,-0.027831,0.582207,-0.077847,-0.129561,-0.011077,-0.023703,1.289647,3.045496,-0.083228,-0.002461,-0.255968,0.291667,0.041667,4.0,0.127303,0.159493,0.225627
7531,132.088562,772.609985,0.612823,0.628295,0.583333,0.0,0.070083,46842.0,0.169654,0.242408,0.127731,0.272271,-0.050038,0.47759,11.005848,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.387208,-0.119575,-0.015163,0.0,-0.004822,-0.120249,-0.019488,-0.015408,-0.028642,0.617839,-0.075514,-0.128908,-0.012024,-0.029075,1.328301,3.181332,-0.080663,-0.006162,-0.249116,0.125,0.0,4.208333,0.115656,0.135622,0.21067
7532,131.700089,782.030029,0.595072,0.61069,0.565217,0.0,0.070349,37184.0,0.173292,0.240707,0.108634,0.259958,-0.050058,0.42073,10.975977,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.375885,-0.120675,-0.019856,0.0,-0.009203,-0.11043,-0.020402,-0.01543,-0.029173,0.578577,-0.093126,-0.136676,-0.013253,-0.022581,1.257249,3.072855,-0.088308,-0.007724,-0.201058,0.347826,0.0,3.608696,0.156418,0.216822,0.234421
7533,141.305817,828.169983,0.662837,0.682614,0.25,0.0,0.070793,37244.0,0.189357,0.253547,0.136528,0.287496,-0.053991,0.490995,10.826205,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.409551,-0.120328,-0.014662,0.0,-0.003877,-0.126406,-0.021347,-0.016634,-0.0307,0.649502,-0.084883,-0.151659,-0.013315,-0.029213,1.386429,3.381566,-0.09018,-0.012362,-0.649513,0.125,0.041667,4.125,0.114593,0.15577,0.178401
7534,142.090836,818.280029,0.668283,0.679947,0.416667,0.041667,0.071068,39321.0,0.160438,0.253186,0.125304,0.270826,-0.050434,0.479036,11.064938,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.419615,-0.127384,-0.018302,0.0,-0.005266,-0.110308,-0.020429,-0.015064,-0.028657,0.665355,-0.076019,-0.133097,-0.011591,-0.025155,1.474978,3.511206,-0.082907,-0.007282,-0.313764,0.291667,0.0,4.041667,0.097456,0.140837,0.193574
7535,145.722549,847.98999,0.667743,0.681885,0.583333,0.083333,0.071251,45471.0,0.175951,0.254888,0.124333,0.275226,-0.050751,0.487911,10.80514,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.414056,-0.130081,-0.014257,0.0,-0.008034,-0.11977,-0.021082,-0.01554,-0.029272,0.66134,-0.100348,-0.148738,-0.013265,-0.026314,1.414199,3.416113,-0.084651,-0.007745,-0.330441,0.25,0.083333,3.791667,0.137056,0.149144,0.264032
7536,155.072159,893.51001,0.74032,0.745608,0.333333,0.0,0.07136,45198.0,0.171579,0.280423,0.153376,0.320222,-0.059061,0.565072,10.911572,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.453554,-0.13662,-0.01662,0.0,-0.004042,-0.11746,-0.022481,-0.016211,-0.030524,0.715958,-0.079275,-0.148219,-0.012109,-0.02541,1.605114,3.758813,-0.094339,-0.002726,-0.334923,0.291667,0.0,3.708333,0.090226,0.126681,0.16545
7537,159.211731,925.75,0.761404,0.76744,0.291667,0.0,0.071753,43185.0,0.185747,0.272997,0.147726,0.299621,-0.055723,0.543723,10.90385,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.467871,-0.135837,-0.016602,0.0,-0.003419,-0.12102,-0.022594,-0.016261,-0.031118,0.747906,-0.070813,-0.127034,-0.010699,-0.029412,1.644834,3.932903,-0.090887,-0.002688,-0.473173,0.208333,0.083333,4.0,0.106624,0.142703,0.173108
7538,159.504913,932.5,0.713587,0.734348,0.666667,0.0,0.072182,46800.0,0.182494,0.266185,0.144609,0.297508,-0.054481,0.535268,11.045063,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.445587,-0.136732,-0.019142,0.0,-0.006847,-0.115349,-0.021695,-0.015522,-0.029304,0.703601,-0.080619,-0.137057,-0.011652,-0.027384,1.553608,3.726333,-0.087905,-0.003221,-0.407111,0.083333,0.0,30.375,0.110316,0.179133,0.228101
7539,153.771713,890.26001,0.657516,0.71221,0.5,0.083333,0.072263,45388.0,0.171194,0.262819,0.133804,0.279789,-0.052529,0.486711,10.87294,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.430349,-0.128656,-0.013914,0.0,-0.007777,-0.117632,-0.021643,-0.01522,-0.029622,0.678793,-0.084287,-0.136997,-0.010776,-0.026654,1.508422,3.586065,-0.087384,-0.005926,-0.305926,0.166667,0.0,3.75,0.111761,0.132436,0.237083
7540,164.253632,956.609985,0.724824,0.757411,0.25,0.0,0.072352,44922.0,0.223521,0.277441,0.148922,0.290999,-0.05386,0.517152,10.835316,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.463853,-0.133783,-0.025532,0.0,-0.004018,-0.105873,-0.022772,-0.015068,-0.028393,0.7314,-0.077512,-0.131005,-0.010969,-0.025635,1.560838,3.891628,-0.088526,-0.047144,-0.329669,0.083333,0.0,3.875,0.098337,0.147212,0.162028
7541,157.223907,915.5,0.742025,0.761718,0.375,0.0,0.072588,45713.0,0.194974,0.277091,0.158587,0.327746,-0.059474,0.572994,10.871905,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.466266,-0.13746,-0.01496,0.0,-0.004018,-0.122336,-0.023959,-0.017159,-0.032358,0.741237,-0.086804,-0.149265,-0.011843,-0.026822,1.610636,3.876861,-0.097548,-0.009918,-0.380114,0.333333,0.041667,4.541667,0.111673,0.123688,0.173185
