iteration,reward,episode_length,height_reward,upright_reward,tipped_over,collapsed,exploration,steps_per_second,speed_error,turn_error,stepping,leg_swing,dragging,ground_covered,landing_force,Curriculum/ease_in_effort/weight,Curriculum/ease_in_landing/weight,Curriculum/ease_in_shake/weight,Curriculum/ease_in_smoothness/weight,Curriculum/ease_in_steadiness/weight,Curriculum/ease_in_straightness/weight,Episode_Reward/alive,Episode_Reward/effort,Episode_Reward/end_stops,Episode_Reward/fell_over,Episode_Reward/hard_landing,Episode_Reward/jitter,Episode_Reward/joint_shock,Episode_Reward/landing_speed,Episode_Reward/posture,Episode_Reward/rocking,Episode_Reward/shaking,Episode_Reward/skidding,Episode_Reward/swing_height,Episode_Reward/track_speed,Episode_Reward/track_turn,Episode_Reward/twitching,Episode_Reward/veering,Episode_Reward/wandering,Episode_Termination/nose_dived,Episode_Termination/out_of_bounds,Episode_Termination/time_out,Metrics/posture/error_height,Metrics/posture/error_pitch,Metrics/posture/error_roll
1534,112.715057,644.849976,0.535302,0.495012,1.541667,0.166667,0.061147,4888.0,0.113041,0.209595,0.081022,0.166248,-0.026269,0.342448,8.706516,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.319095,-0.106365,-0.014216,-0.021822,-0.064909,-0.013028,-0.008636,-0.019222,0.526331,-0.081459,-0.112366,-0.010467,-0.017427,1.030524,2.630588,-0.045803,-0.001805,-0.093599,1.625,0.0,2.666667,0.073347,0.399088,0.320288
1535,116.015068,680.299988,0.567958,0.502757,1.75,0.125,0.06147,4817.0,0.124682,0.219217,0.086115,0.170122,-0.026273,0.341981,8.787704,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.33155,-0.104515,-0.019847,-0.019096,-0.068728,-0.012938,-0.008279,-0.019223,0.55378,-0.080206,-0.112297,-0.011116,-0.020283,1.0349,2.736722,-0.044223,-0.004574,-0.164556,1.458333,0.0,3.333333,0.074476,0.354655,0.348045
1536,123.13372,712.630005,0.622234,0.557332,1.5,0.083333,0.06179,4863.0,0.121495,0.240028,0.092999,0.170323,-0.027253,0.370904,8.83033,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.366718,-0.112238,-0.026734,-0.016547,-0.068374,-0.013814,-0.00864,-0.019736,0.59634,-0.080388,-0.11303,-0.009765,-0.019808,1.20568,3.060615,-0.046678,-0.003123,-0.104759,1.291667,0.0,3.083333,0.060184,0.328438,0.324476
1537,130.907181,750.01001,0.629775,0.59108,1.5,0.0,0.062021,4826.0,0.118121,0.240675,0.088271,0.178172,-0.026709,0.378263,8.675333,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.37374,-0.120591,-0.025615,-0.017252,-0.068193,-0.013332,-0.008019,-0.019587,0.626044,-0.082109,-0.099971,-0.010686,-0.020123,1.242316,3.127275,-0.045386,-0.003233,-0.123324,0.875,0.0,2.666667,0.070822,0.340294,0.322947
1538,134.643799,760.280029,0.643307,0.601227,1.291667,0.0,0.062213,4878.0,0.116048,0.248125,0.095658,0.164048,-0.025096,0.360034,8.793196,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.37849,-0.10805,-0.015941,-0.015922,-0.059584,-0.013092,-0.007375,-0.017842,0.637472,-0.073094,-0.10534,-0.008071,-0.01748,1.279624,3.18937,-0.04288,-0.001638,-0.079884,1.166667,0.0,3.0,0.058232,0.309639,0.326723
1539,122.941566,709.929993,0.597309,0.546378,1.583333,0.0,0.062462,4844.0,0.123779,0.237515,0.088636,0.162696,-0.025677,0.328653,8.623716,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.351432,-0.099261,-0.026261,-0.019187,-0.06142,-0.013124,-0.007723,-0.018506,0.578657,-0.073277,-0.101209,-0.008635,-0.018314,1.131592,2.90566,-0.043727,-0.002588,-0.083803,1.333333,0.0,2.458333,0.072385,0.38873,0.355131
1540,156.706863,906.809998,0.659169,0.599469,1.583333,0.0,0.062748,4784.0,0.128308,0.250149,0.086347,0.166126,-0.027001,0.344813,8.887099,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.392072,-0.125505,-0.030535,-0.015421,-0.066662,-0.014379,-0.008569,-0.019899,0.639586,-0.081366,-0.113561,-0.010951,-0.019186,1.29282,3.291495,-0.047724,-0.002753,-0.106713,1.75,0.0,22.583334,0.068179,0.348498,0.307411
1541,116.689476,689.940002,0.561021,0.519513,1.875,0.083333,0.063086,4733.0,0.118511,0.232652,0.076634,0.1498,-0.023472,0.319662,9.095081,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.343782,-0.104354,-0.033686,-0.019906,-0.06203,-0.01283,-0.007335,-0.017736,0.558525,-0.072996,-0.097211,-0.009212,-0.018783,1.104438,2.842922,-0.041744,-0.002219,-0.123963,2.0,0.0,2.916667,0.087708,0.391924,0.325875
1542,110.767365,649.030029,0.592582,0.531653,1.913043,0.0,0.063285,4751.0,0.122302,0.238449,0.080508,0.163865,-0.026806,0.342675,8.841018,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.347292,-0.110968,-0.02407,-0.018885,-0.066289,-0.013729,-0.008299,-0.019227,0.566593,-0.083331,-0.117908,-0.010748,-0.019231,1.117629,2.866746,-0.046449,-0.00386,-0.133238,1.608696,0.0,3.043478,0.077949,0.391901,0.340779
1543,135.399994,799.340027,0.681222,0.607038,1.083333,0.0,0.063546,4816.0,0.150014,0.259166,0.102143,0.18635,-0.028851,0.38993,8.836467,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.407048,-0.116009,-0.033125,-0.011663,-0.073859,-0.015392,-0.008629,-0.021281,0.663314,-0.083509,-0.122455,-0.011232,-0.023133,1.276263,3.399366,-0.049135,-0.003996,-0.136048,1.041667,0.0,3.625,0.072805,0.307086,0.271039
1544,138.662811,817.23999,0.657798,0.576017,1.041667,0.041667,0.063807,4815.0,0.13846,0.261753,0.096096,0.181679,-0.029216,0.385064,8.761726,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.391069,-0.116684,-0.031549,-0.015171,-0.071789,-0.015436,-0.00903,-0.021113,0.643181,-0.07954,-0.115777,-0.011053,-0.022513,1.244202,3.241488,-0.050007,-0.003389,-0.179128,1.208333,0.0,3.416667,0.066203,0.351201,0.300248
1545,132.151138,773.530029,0.635367,0.572192,1.125,0.0,0.064253,4821.0,0.129341,0.284144,0.093071,0.177199,-0.027465,0.371233,8.733685,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.377803,-0.116105,-0.02973,-0.016364,-0.067877,-0.014562,-0.008381,-0.020323,0.613748,-0.075316,-0.114244,-0.009915,-0.02046,1.21897,3.078012,-0.048098,-0.003008,-0.162175,1.333333,0.0,3.125,0.071956,0.371085,0.281681
1546,126.873611,739.340027,0.601824,0.540949,1.913043,0.043478,0.064276,4838.0,0.125348,0.2364,0.087101,0.163732,-0.025564,0.333007,8.676886,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.355353,-0.106733,-0.01819,-0.018757,-0.063303,-0.014242,-0.007901,-0.018606,0.577166,-0.085018,-0.124286,-0.010447,-0.01824,1.147645,2.952302,-0.045945,-0.003907,-0.098223,1.26087,0.0,3.434783,0.07314,0.375521,0.318277
