iteration,reward,episode_length,height_reward,upright_reward,tipped_over,collapsed,exploration,steps_per_second,speed_error,turn_error,stepping,leg_swing,dragging,ground_covered,landing_force,Curriculum/ease_in_effort/weight,Curriculum/ease_in_landing/weight,Curriculum/ease_in_shake/weight,Curriculum/ease_in_smoothness/weight,Curriculum/ease_in_steadiness/weight,Curriculum/ease_in_straightness/weight,Episode_Reward/alive,Episode_Reward/effort,Episode_Reward/end_stops,Episode_Reward/fell_over,Episode_Reward/hard_landing,Episode_Reward/jitter,Episode_Reward/joint_shock,Episode_Reward/landing_speed,Episode_Reward/posture,Episode_Reward/rocking,Episode_Reward/shaking,Episode_Reward/skidding,Episode_Reward/swing_height,Episode_Reward/track_speed,Episode_Reward/track_turn,Episode_Reward/twitching,Episode_Reward/veering,Episode_Reward/wandering,Episode_Termination/nose_dived,Episode_Termination/out_of_bounds,Episode_Termination/time_out,Metrics/posture/error_height,Metrics/posture/error_pitch,Metrics/posture/error_roll
1520,78.384315,439.26001,0.346328,0.328041,1.791667,0.041667,0.056639,55065.0,0.073536,0.13049,0.061673,0.117358,-0.018448,0.252883,9.122389,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.212846,-0.066058,-0.010729,-0.017505,-0.047142,-0.007892,-0.006051,-0.012748,0.357239,-0.057067,-0.076159,-0.007577,-0.011598,0.701835,1.794928,-0.029471,-0.001496,-0.042706,1.125,0.0,3.083333,0.067661,0.352993,0.327082
1521,76.000809,428.190002,0.349722,0.324946,2.5,0.0,0.056984,55420.0,0.068103,0.128947,0.057251,0.113396,-0.017755,0.244461,9.057596,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.20856,-0.066092,-0.006088,-0.021343,-0.044462,-0.00762,-0.00557,-0.01269,0.354618,-0.054692,-0.064753,-0.006967,-0.01149,0.697254,1.748229,-0.028978,-0.000932,-0.047747,1.125,0.0,3.0,0.075289,0.417782,0.377749
1522,75.714661,427.709991,0.363489,0.339191,2.75,0.166667,0.057252,54866.0,0.072947,0.130169,0.060954,0.122663,-0.018852,0.264138,9.124393,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.216528,-0.067254,-0.008672,-0.023733,-0.044928,-0.007941,-0.005743,-0.013053,0.365818,-0.057655,-0.069677,-0.006996,-0.011454,0.716469,1.820039,-0.030316,-0.001191,-0.045323,1.625,0.0,2.666667,0.07954,0.415238,0.371931
1523,89.562759,491.079987,0.420973,0.393373,2.75,0.0,0.057684,54754.0,0.073836,0.153047,0.065694,0.12776,-0.019703,0.2779,9.048476,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.242794,-0.077942,-0.009806,-0.020494,-0.045713,-0.008614,-0.006068,-0.013819,0.41547,-0.063108,-0.082419,-0.007196,-0.012282,0.829172,2.037294,-0.031674,-0.000892,-0.052735,0.916667,0.0,3.25,0.07536,0.397321,0.350998
1524,96.082069,531.890015,0.474093,0.4381,2.083333,0.041667,0.058183,54865.0,0.082398,0.171161,0.074881,0.133819,-0.022142,0.301274,8.648299,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.272886,-0.085126,-0.008157,-0.017566,-0.052117,-0.010107,-0.00749,-0.015149,0.474723,-0.065395,-0.090871,-0.008475,-0.013795,0.936112,2.304296,-0.035642,-0.00167,-0.06086,0.875,0.0,3.208333,0.059841,0.339588,0.318355
1525,84.459702,486.929993,0.396681,0.370388,2.708333,0.041667,0.058379,54847.0,0.082768,0.15176,0.067321,0.134222,-0.021113,0.285304,8.946758,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.237048,-0.073722,-0.014054,-0.022746,-0.051917,-0.008998,-0.006738,-0.014677,0.402438,-0.072034,-0.09366,-0.007761,-0.012862,0.776299,1.967009,-0.034031,-0.001213,-0.064903,1.458333,0.0,2.958333,0.07981,0.413372,0.360522
1526,86.199692,492.230011,0.440005,0.399105,2.208333,0.041667,0.058675,54907.0,0.085657,0.172715,0.070175,0.133517,-0.021428,0.279797,8.904891,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.255924,-0.075076,-0.019904,-0.020774,-0.053142,-0.010162,-0.007132,-0.015115,0.429116,-0.067301,-0.093542,-0.008821,-0.015068,0.842139,2.105811,-0.035404,-0.001994,-0.068928,1.666667,0.0,2.791667,0.082816,0.431818,0.285908
1527,92.847733,530.630005,0.448845,0.408442,2.916667,0.125,0.059021,54298.0,0.093047,0.172706,0.06872,0.131813,-0.021382,0.282345,8.823637,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.264905,-0.079378,-0.014279,-0.021713,-0.053489,-0.010159,-0.006692,-0.014975,0.445596,-0.071281,-0.099938,-0.007857,-0.014565,0.86186,2.208,-0.03575,-0.002471,-0.073329,1.458333,0.0,3.5,0.074357,0.375026,0.388035
1528,96.858574,551.25,0.451769,0.425122,2.916667,0.083333,0.059408,55113.0,0.090912,0.168677,0.074821,0.133969,-0.021548,0.287352,8.696445,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.272167,-0.079454,-0.017531,-0.021028,-0.052342,-0.009771,-0.006494,-0.015442,0.455893,-0.065325,-0.083386,-0.008381,-0.01556,0.900611,2.287323,-0.034348,-0.002113,-0.061906,1.25,0.0,3.041667,0.077747,0.402265,0.362361
1529,105.343956,595.909973,0.505663,0.45998,2.086957,0.0,0.059745,55331.0,0.103763,0.190247,0.07452,0.141427,-0.021681,0.298054,8.213808,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.298281,-0.091282,-0.019068,-0.018916,-0.053516,-0.010055,-0.006134,-0.015512,0.497742,-0.059083,-0.078342,-0.007569,-0.015961,0.950074,2.507476,-0.035375,-0.001421,-0.073058,0.73913,0.0,2.73913,0.077048,0.376555,0.31449
