iteration,reward,episode_length,height_reward,upright_reward,tipped_over,collapsed,exploration,steps_per_second,speed_error,turn_error,stepping,leg_swing,dragging,ground_covered,landing_force,Curriculum/ease_in_effort/weight,Curriculum/ease_in_landing/weight,Curriculum/ease_in_shake/weight,Curriculum/ease_in_smoothness/weight,Curriculum/ease_in_steadiness/weight,Curriculum/ease_in_straightness/weight,Episode_Reward/alive,Episode_Reward/effort,Episode_Reward/end_stops,Episode_Reward/fell_over,Episode_Reward/hard_landing,Episode_Reward/jitter,Episode_Reward/joint_shock,Episode_Reward/landing_speed,Episode_Reward/posture,Episode_Reward/rocking,Episode_Reward/shaking,Episode_Reward/skidding,Episode_Reward/swing_height,Episode_Reward/track_speed,Episode_Reward/track_turn,Episode_Reward/twitching,Episode_Reward/veering,Episode_Reward/wandering,Episode_Termination/nose_dived,Episode_Termination/time_out,Metrics/posture/error_height,Metrics/posture/error_pitch,Metrics/posture/error_roll
7019,91.001602,518.460022,0.373668,0.430774,0.0,0.0,0.093186,80255.0,0.085337,0.175075,0.101234,0.184054,-0.030562,0.341255,7.949557,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.258251,-0.084046,-0.004232,0.0,-0.049053,-0.025736,-0.008184,-0.01686,0.407593,-0.047226,-0.086243,-0.006069,-0.015424,0.947488,2.007127,-0.068323,-0.000593,-0.079531,0.0,4.708333,0.0269,0.089276,0.145814
7020,94.349449,541.530029,0.411762,0.462797,0.0,0.0,0.092357,81978.0,0.097042,0.187648,0.111646,0.20782,-0.037682,0.363938,7.918251,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.270251,-0.082577,-0.008465,0.0,-0.060762,-0.027983,-0.010125,-0.019934,0.419913,-0.052442,-0.101887,-0.007103,-0.020532,0.970155,2.072863,-0.077779,-0.000462,-0.085477,0.0,4.291667,0.023525,0.075565,0.120656
7021,98.978859,563.099976,0.449839,0.473608,0.0,0.0,0.091767,82357.0,0.096152,0.193939,0.107808,0.180921,-0.032008,0.345673,7.849473,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.282252,-0.085244,-0.006056,0.0,-0.053074,-0.02743,-0.008244,-0.017793,0.4462,-0.050914,-0.091473,-0.006172,-0.017443,1.035283,2.195147,-0.070395,-0.000487,-0.081137,0.0,4.0,0.019551,0.076743,0.131023
7022,102.744301,588.76001,0.442323,0.495722,0.0,0.0,0.09133,82184.0,0.092176,0.207115,0.114012,0.199964,-0.03452,0.379383,7.855382,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.294252,-0.092887,-0.004753,0.0,-0.055766,-0.029393,-0.009908,-0.019615,0.462482,-0.057083,-0.104394,-0.007667,-0.017652,1.092805,2.255237,-0.076683,-0.000439,-0.069708,0.0,4.541667,0.021529,0.083409,0.118906
7023,104.472862,608.590027,0.445916,0.501327,0.0,0.0,0.090662,81157.0,0.104643,0.208108,0.116226,0.222561,-0.040316,0.395925,7.876045,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.304165,-0.102003,-0.008536,-0.000333,-0.062899,-0.030519,-0.011804,-0.021808,0.466104,-0.057163,-0.103426,-0.007873,-0.019141,1.10569,2.351653,-0.087378,-0.000533,-0.149459,0.041667,4.458333,0.025424,0.092232,0.132429
7024,111.508324,635.679993,0.487596,0.561621,0.0,0.0,0.090298,81335.0,0.099219,0.209976,0.122198,0.210446,-0.036564,0.402715,7.85885,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.318253,-0.103324,-0.005532,0.0,-0.058964,-0.030153,-0.009823,-0.019918,0.50845,-0.056239,-0.098284,-0.007582,-0.019784,1.178873,2.496701,-0.080626,-0.00051,-0.137522,0.0,3.875,0.022022,0.084744,0.11296
7025,114.728348,660.030029,0.497236,0.556344,0.0,0.0,0.089908,83254.0,0.108474,0.222303,0.130813,0.225147,-0.040947,0.418261,7.855644,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.330307,-0.103279,-0.008385,0.0,-0.066576,-0.03255,-0.011375,-0.023533,0.516186,-0.060767,-0.112969,-0.007786,-0.020793,1.215794,2.568628,-0.088717,-0.000546,-0.13513,0.0,4.043478,0.02851,0.079188,0.139406
7026,119.851852,684.799988,0.523611,0.57265,0.0,0.0,0.08961,83114.0,0.107635,0.234626,0.1257,0.230031,-0.041411,0.431511,7.781445,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.342068,-0.111874,-0.007323,0.0,-0.065239,-0.03301,-0.011428,-0.023528,0.535105,-0.062293,-0.114047,-0.008196,-0.020885,1.27119,2.659925,-0.090081,-0.00053,-0.126844,0.0,5.043478,0.023858,0.097463,0.131113
7027,123.586739,709.679993,0.558168,0.604271,0.0,0.0,0.089316,79590.0,0.107304,0.238493,0.138722,0.240101,-0.043653,0.476577,7.791086,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.354253,-0.118509,-0.007344,0.0,-0.065953,-0.033413,-0.011361,-0.02317,0.564354,-0.061175,-0.107247,-0.008046,-0.02042,1.326452,2.783088,-0.091467,-0.000723,-0.185352,0.0,4.25,0.023184,0.080873,0.110666
7028,126.504601,734.630005,0.540038,0.625246,0.0,0.0,0.089031,83411.0,0.117469,0.249304,0.13933,0.251501,-0.044262,0.477671,7.764742,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.366286,-0.121445,-0.00697,0.0,-0.068967,-0.034801,-0.012136,-0.024511,0.578655,-0.064132,-0.115797,-0.008464,-0.021229,1.352209,2.872986,-0.096481,-0.000894,-0.183012,0.0,4.608696,0.027923,0.081935,0.11657
