iteration,reward,episode_length,height_reward,upright_reward,tipped_over,collapsed,exploration,steps_per_second,speed_error,turn_error,stepping,leg_swing,dragging,ground_covered,landing_force,Curriculum/ease_in_effort/weight,Curriculum/ease_in_landing/weight,Curriculum/ease_in_shake/weight,Curriculum/ease_in_smoothness/weight,Curriculum/ease_in_steadiness/weight,Curriculum/ease_in_straightness/weight,Episode_Reward/alive,Episode_Reward/effort,Episode_Reward/end_stops,Episode_Reward/fell_over,Episode_Reward/hard_landing,Episode_Reward/jitter,Episode_Reward/joint_shock,Episode_Reward/landing_speed,Episode_Reward/posture,Episode_Reward/rocking,Episode_Reward/shaking,Episode_Reward/skidding,Episode_Reward/swing_height,Episode_Reward/track_speed,Episode_Reward/track_turn,Episode_Reward/twitching,Episode_Reward/veering,Episode_Reward/wandering,Episode_Termination/nose_dived,Episode_Termination/time_out,Metrics/posture/error_height,Metrics/posture/error_pitch,Metrics/posture/error_roll
21,3.698436,394.359985,0.260847,0.273406,2.958333,0.0,0.635524,64794.0,0.206419,0.641761,0.038103,0.167223,-0.027702,0.084699,6.439465,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.188895,-0.001678,-0.002606,-0.023122,-0.098544,-0.67804,-0.058558,-0.009589,0.288263,-0.095399,-0.0316,-0.068208,-0.045744,0.18804,0.142544,-0.238566,-0.019805,-0.075243,0.0,2.208333,0.028927,0.153409,0.477943
22,5.870755,432.829987,0.295529,0.314043,2.916667,0.0,0.628311,64867.0,0.20955,0.692373,0.040642,0.18014,-0.029921,0.117784,6.428416,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.206995,-0.001837,-0.003135,-0.021832,-0.10713,-0.736954,-0.064073,-0.010812,0.316262,-0.104296,-0.035242,-0.076314,-0.048506,0.27567,0.157068,-0.259225,-0.027892,-0.082724,0.0,2.375,0.028559,0.140442,0.455965
23,5.868512,457.089996,0.311526,0.334151,2.73913,0.0,0.623306,66041.0,0.21696,0.721141,0.042999,0.178627,-0.029723,0.108461,6.434038,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.222756,-0.001963,-0.002914,-0.023783,-0.105349,-0.762527,-0.067071,-0.011366,0.324973,-0.108451,-0.036384,-0.079452,-0.048461,0.307203,0.180386,-0.269076,-0.026998,-0.10809,0.0,2.130435,0.030144,0.12923,0.447898
24,7.208934,476.859985,0.311518,0.348761,1.75,0.0,0.615447,64584.0,0.232086,0.777396,0.04582,0.189382,-0.032475,0.116345,6.431219,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.233619,-0.002015,-0.003103,-0.017954,-0.11099,-0.787789,-0.070722,-0.01166,0.345877,-0.115189,-0.040423,-0.084646,-0.051364,0.316472,0.184349,-0.277984,-0.025346,-0.124408,0.0,2.333333,0.027481,0.16194,0.396338
25,6.958752,467.519989,0.307092,0.343875,1.875,0.0,0.609368,64324.0,0.228537,0.752463,0.043874,0.195391,-0.03196,0.118872,6.43164,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.228697,-0.002006,-0.003519,-0.017927,-0.115393,-0.762134,-0.069004,-0.011766,0.344,-0.111528,-0.038108,-0.083341,-0.051995,0.29902,0.185708,-0.269698,-0.031542,-0.157046,0.0,2.541667,0.030397,0.132689,0.37492
26,7.960259,520.780029,0.376514,0.415461,1.227273,0.0,0.602719,68858.0,0.278434,0.878275,0.050383,0.224738,-0.036788,0.127101,6.414297,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.271367,-0.002384,-0.003905,-0.017485,-0.132287,-0.88859,-0.080709,-0.013764,0.398173,-0.127137,-0.04483,-0.097945,-0.061714,0.345392,0.223344,-0.314647,-0.033706,-0.121925,0.0,1.772727,0.029603,0.113491,0.358053
27,8.25157,546.109985,0.428237,0.429261,1.041667,0.0,0.597314,65516.0,0.285878,0.930614,0.052614,0.221308,-0.037451,0.133127,6.42268,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.281383,-0.002399,-0.003748,-0.01195,-0.12584,-0.936486,-0.090142,-0.014641,0.406461,-0.144427,-0.051578,-0.106392,-0.058235,0.356178,0.216078,-0.330851,-0.041755,-0.16664,0.0,2.166667,0.024399,0.11864,0.280983
28,11.212501,572.97998,0.412827,0.444777,1.285714,0.0,0.591951,68733.0,0.299083,0.975032,0.058199,0.237492,-0.041098,0.147424,6.433552,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.295637,-0.002512,-0.004021,-0.01336,-0.13407,-0.939438,-0.086868,-0.015069,0.433198,-0.141352,-0.051106,-0.105216,-0.061073,0.409852,0.243059,-0.332977,-0.036986,-0.172944,0.0,2.333333,0.02822,0.117164,0.271202
29,12.838894,625.140015,0.449591,0.486005,0.73913,0.0,0.585701,66759.0,0.321764,1.063261,0.064039,0.256264,-0.042616,0.161828,6.419025,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.318281,-0.002706,-0.004375,-0.009412,-0.144722,-1.022755,-0.092555,-0.015788,0.463742,-0.150281,-0.05493,-0.111114,-0.066188,0.422824,0.263743,-0.362701,-0.027312,-0.12166,0.0,2.347826,0.023176,0.138604,0.280324
30,14.197881,694.179993,0.453385,0.525573,0.47619,0.0,0.579351,68665.0,0.31704,1.092705,0.054141,0.283084,-0.043139,0.181981,6.416346,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.343887,-0.003095,-0.006007,-0.005365,-0.18082,-1.094597,-0.099184,-0.017711,0.515152,-0.151992,-0.053539,-0.121857,-0.080774,0.527269,0.306111,-0.388474,-0.039544,-0.177658,0.0,3.0,0.027705,0.141693,0.177369
31,13.964122,694.299988,0.490088,0.567282,0.315789,0.0,0.573663,72966.0,0.323268,1.140229,0.05905,0.259875,-0.039405,0.165033,6.406827,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.360566,-0.003144,-0.006365,-0.003228,-0.156512,-1.129288,-0.104109,-0.018146,0.49813,-0.162761,-0.058462,-0.123073,-0.071994,0.538866,0.319959,-0.401089,-0.09088,-0.153927,0.0,1.894737,0.029742,0.149399,0.145844
32,14.401505,671.049988,0.408152,0.484285,0.909091,0.0,0.568416,68008.0,0.289883,1.022249,0.066082,0.258987,-0.042796,0.183205,6.39712,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.313936,-0.002675,-0.004986,-0.014576,-0.147312,-0.946693,-0.08941,-0.015595,0.467954,-0.144013,-0.051737,-0.107438,-0.066687,0.48226,0.267344,-0.337467,-0.033696,-0.241362,0.090909,1.727273,0.027786,0.148956,0.313962
33,16.141426,680.76001,0.497981,0.515528,0.73913,0.0,0.562216,66522.0,0.337256,1.08901,0.074052,0.296722,-0.049361,0.189314,6.396716,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.340785,-0.002883,-0.004948,-0.009739,-0.164734,-1.02859,-0.10116,-0.017322,0.530803,-0.157856,-0.05761,-0.121298,-0.077348,0.442528,0.292806,-0.366545,-0.054958,-0.206285,0.0,2.0,0.026827,0.123259,0.267297
34,17.337467,725.25,0.522354,0.574984,0.478261,0.0,0.556138,66197.0,0.343525,1.15827,0.072876,0.312085,-0.050347,0.21571,6.39771,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.372372,-0.003198,-0.005642,-0.005826,-0.186044,-1.132572,-0.10816,-0.018773,0.569818,-0.166403,-0.059623,-0.128222,-0.082425,0.567694,0.343962,-0.403174,-0.055985,-0.20519,0.0,2.608696,0.024385,0.153276,0.19796
35,19.257183,747.539978,0.534999,0.54844,0.590909,0.0,0.550453,68025.0,0.355298,1.209304,0.079911,0.310682,-0.050043,0.212617,6.395113,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.378152,-0.003169,-0.006118,-0.007957,-0.177357,-1.117519,-0.107296,-0.018613,0.576448,-0.164563,-0.063049,-0.124731,-0.081716,0.538099,0.34771,-0.398027,-0.032842,-0.156915,0.0,2.090909,0.034284,0.156227,0.190805
36,19.608652,784.820007,0.540719,0.624828,0.391304,0.0,0.544662,66634.0,0.389093,1.290638,0.075841,0.343648,-0.054063,0.220147,6.383234,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.412942,-0.00358,-0.00765,-0.007797,-0.209956,-1.210111,-0.114325,-0.02075,0.629595,-0.175571,-0.06508,-0.141051,-0.095427,0.585003,0.39551,-0.432783,-0.038505,-0.30388,0.217391,2.565217,0.025505,0.206204,0.224804
37,21.710009,803.080017,0.592411,0.653315,0.521739,0.0,0.539518,66906.0,0.37743,1.30187,0.08303,0.345426,-0.054643,0.246118,6.40203,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.423364,-0.003652,-0.007122,-0.006435,-0.208501,-1.234792,-0.116152,-0.020956,0.640603,-0.17349,-0.067484,-0.138018,-0.094119,0.666588,0.413853,-0.440808,-0.047375,-0.280065,0.086957,2.086957,0.02652,0.152638,0.181066
38,23.414316,850.580017,0.623457,0.673479,0.3,0.0,0.533474,70961.0,0.41526,1.396931,0.096767,0.360465,-0.059255,0.26584,6.384407,-0.0002,-0.1,-0.002,-0.05,-0.06,-0.2,0.440429,-0.003598,-0.006954,-0.004067,-0.193637,-1.266432,-0.122953,-0.021083,0.671116,-0.195008,-0.073602,-0.144016,-0.088881,0.647779,0.399955,-0.452334,-0.048131,-0.229379,0.0,2.65,0.018591,0.163311,0.170975
