iteration,reward,episode_length,height_reward,upright_penalty,tipped_over,collapsed,exploration,steps_per_second
113,47.820763,500.0,1.993924,-0.001169,0.0,0.0,0.222729,119737.0
114,47.884907,500.0,1.994183,-0.001129,0.0,0.0,0.219744,120768.0
115,47.907619,500.0,1.994178,-0.001115,0.0,0.0,0.216984,119378.0
116,47.975613,500.0,1.994321,-0.001077,0.0,0.0,0.214316,117183.0
117,48.021767,500.0,1.994441,-0.001063,0.0,0.0,0.210553,118985.0
118,48.06303,500.0,1.994707,-0.001008,0.0,0.0,0.206479,119345.0
119,48.103344,500.0,1.99475,-0.000971,0.0,0.0,0.203365,120025.0
120,48.153881,500.0,1.994909,-0.000955,0.0,0.0,0.199675,120129.0
121,48.179977,500.0,1.994838,-0.000933,0.0,0.0,0.196134,118452.0
122,48.245975,500.0,1.995261,-0.000887,0.0,0.0,0.192137,119359.0
123,48.29113,500.0,1.995359,-0.000872,0.0,0.0,0.189606,119901.0
124,48.33004,500.0,1.995379,-0.000828,0.0,0.0,0.186791,119254.0
125,48.391552,500.0,1.995568,-0.000814,0.0,0.0,0.184375,104725.0
126,48.428783,500.0,1.995669,-0.000785,0.0,0.0,0.180821,104731.0
127,48.474964,500.0,1.995847,-0.000757,0.0,0.0,0.177291,102523.0
128,48.50172,500.0,1.995934,-0.000733,0.0,0.0,0.174695,94403.0
129,48.551384,500.0,1.996017,-0.000705,0.0,0.0,0.171237,99648.0
130,48.582787,500.0,1.996141,-0.000684,0.0,0.0,0.168352,99404.0
131,48.620045,500.0,1.996262,-0.000654,0.0,0.0,0.166007,101698.0
132,48.660038,500.0,1.99636,-0.000634,0.0,0.0,0.163289,103975.0
133,48.69173,500.0,1.996494,-0.000607,0.0,0.0,0.160068,104863.0
134,48.725449,500.0,1.996578,-0.000596,0.0,0.0,0.156877,103722.0
135,48.762856,500.0,1.996644,-0.000572,0.0,0.0,0.153863,82857.0
136,48.794754,500.0,1.996717,-0.000538,0.0,0.0,0.150311,118021.0
137,48.831997,500.0,1.996827,-0.000526,0.0,0.0,0.147944,117180.0
138,48.856388,500.0,1.996859,-0.000513,0.0,0.0,0.144805,92353.0
139,48.895966,500.0,1.996973,-0.00049,0.0,0.0,0.141549,65288.0
140,48.93074,500.0,1.997114,-0.00048,0.0,0.0,0.138532,61348.0
141,48.963867,500.0,1.997262,-0.000453,0.0,0.0,0.136467,64085.0
142,48.993397,500.0,1.997294,-0.000436,0.0,0.0,0.13423,90482.0
143,49.02882,500.0,1.997363,-0.000428,0.0,0.0,0.131364,115213.0
144,49.058723,500.0,1.997518,-0.00041,0.0,0.0,0.128443,117451.0
145,49.089245,500.0,1.99757,-0.000399,0.0,0.0,0.126089,117854.0
146,49.127113,500.0,1.99761,-0.000386,0.0,0.0,0.123733,119745.0
147,49.159901,500.0,1.997664,-0.000371,0.0,0.0,0.121107,118879.0
148,49.182629,500.0,1.997764,-0.000359,0.0,0.0,0.118175,119180.0
149,49.21209,500.0,1.997839,-0.000346,0.0,0.0,0.115914,119471.0
150,49.240028,500.0,1.99792,-0.000336,0.0,0.0,0.11348,105508.0
151,49.265995,500.0,1.997994,-0.000325,0.0,0.0,0.111188,104894.0
152,49.289871,500.0,1.99807,-0.000309,0.0,0.0,0.10886,105810.0
153,49.314449,500.0,1.998161,-0.000302,0.0,0.0,0.106455,104290.0
154,49.338982,500.0,1.998243,-0.000292,0.0,0.0,0.104268,98325.0
155,49.362324,500.0,1.998298,-0.000282,0.0,0.0,0.102098,105717.0
156,49.38158,500.0,1.998361,-0.000275,0.0,0.0,0.100184,104891.0
157,49.405266,500.0,1.9984,-0.000267,0.0,0.0,0.098302,104976.0
158,49.425777,500.0,1.998498,-0.00026,0.0,0.0,0.096718,104216.0
159,49.446922,500.0,1.998544,-0.000251,0.0,0.0,0.094749,105560.0
160,49.463371,500.0,1.998649,-0.000246,0.0,0.0,0.092915,84659.0
161,49.482605,500.0,1.998659,-0.000241,0.0,0.0,0.091645,120959.0
162,49.502903,500.0,1.99872,-0.000231,0.0,0.0,0.090354,120498.0
163,49.514454,500.0,1.998774,-0.000229,0.0,0.0,0.088801,119682.0
164,49.537327,500.0,1.998797,-0.000224,0.0,0.0,0.086877,121207.0
165,49.550163,500.0,1.998874,-0.000224,0.0,0.0,0.084996,121002.0
166,49.564976,500.0,1.998916,-0.000219,0.0,0.0,0.083129,119517.0
167,49.583904,500.0,1.998946,-0.000219,0.0,0.0,0.081338,119731.0
168,49.598362,500.0,1.998976,-0.000213,0.0,0.0,0.079705,121343.0
169,49.612888,500.0,1.999027,-0.000207,0.0,0.0,0.078333,109874.0
170,49.626163,500.0,1.999053,-0.000207,0.0,0.0,0.076787,119421.0
171,49.637604,500.0,1.999079,-0.000202,0.0,0.0,0.075085,119503.0
172,49.651764,500.0,1.999136,-0.000201,0.0,0.0,0.073488,119228.0
173,49.659706,500.0,1.999156,-0.000198,0.0,0.0,0.072228,119243.0
174,49.672668,500.0,1.999206,-0.000196,0.0,0.0,0.070972,120044.0
175,49.681633,500.0,1.999226,-0.000194,0.0,0.0,0.06959,105086.0
176,49.689606,500.0,1.999242,-0.000189,0.0,0.0,0.068078,106916.0
177,49.701351,500.0,1.999269,-0.000189,0.0,0.0,0.06707,107233.0
178,49.70982,500.0,1.999303,-0.000182,0.0,0.0,0.065816,106987.0
179,49.717934,500.0,1.999301,-0.000183,0.0,0.0,0.064656,107840.0
180,49.725517,500.0,1.999336,-0.000184,0.0,0.0,0.063308,97123.0
181,49.732258,500.0,1.999362,-0.000182,0.0,0.0,0.062018,92137.0
