iteration,reward,episode_length,height_reward,upright_reward,tipped_over,collapsed,exploration,steps_per_second,speed_error,turn_error,stepping,leg_swing,dragging,ground_covered,landing_force,Curriculum/ease_in_landing/weight,Curriculum/ease_in_shake/weight,Curriculum/ease_in_smoothness/weight,Curriculum/ease_in_steadiness/weight,Curriculum/ease_in_straightness/weight,Episode_Reward/alive,Episode_Reward/effort,Episode_Reward/end_stops,Episode_Reward/fell_over,Episode_Reward/hard_landing,Episode_Reward/jitter,Episode_Reward/joint_shock,Episode_Reward/landing_speed,Episode_Reward/posture,Episode_Reward/rocking,Episode_Reward/shaking,Episode_Reward/skidding,Episode_Reward/swing_height,Episode_Reward/track_speed,Episode_Reward/track_turn,Episode_Reward/twitching,Episode_Reward/veering,Episode_Reward/wandering,Episode_Termination/time_out,Metrics/posture/error_height,Metrics/posture/error_pitch,Metrics/posture/error_roll
22,24.218224,517.409973,0.330651,0.367924,0.583333,0.0,0.825512,64012.0,0.262013,0.960439,0.036973,0.226122,-0.035693,0.128159,6.915809,-0.1,-0.001,-0.01,-0.02,-0.2,0.255701,-0.002455,-0.005354,-0.006058,-0.000285,-0.283644,-0.100004,-0.015975,0.353692,-0.056724,-0.02307,-0.116379,-0.059281,0.316225,0.027011,-0.096752,-0.024959,-0.020126,3.458333,0.025466,0.150534,0.225243
23,25.11919,532.890015,0.347209,0.394565,0.75,0.0,0.819984,68406.0,0.288372,1.032068,0.039996,0.245886,-0.039315,0.132521,6.944541,-0.1,-0.001,-0.01,-0.02,-0.2,0.268513,-0.002576,-0.005773,-0.006518,-0.000317,-0.297143,-0.103938,-0.016375,0.384409,-0.059389,-0.024607,-0.122633,-0.06514,0.300646,0.027466,-0.101345,-0.023065,-0.019434,3.458333,0.029264,0.177537,0.208023
24,25.984648,557.109985,0.365775,0.404877,0.695652,0.0,0.814711,68877.0,0.299563,1.056524,0.042962,0.261935,-0.04221,0.140061,6.966105,-0.1,-0.001,-0.01,-0.02,-0.2,0.27699,-0.002628,-0.006096,-0.006976,-0.000325,-0.301197,-0.107723,-0.016903,0.400073,-0.060517,-0.025242,-0.130955,-0.066288,0.307879,0.028647,-0.102891,-0.03052,-0.025776,3.347826,0.023986,0.160595,0.217255
25,28.272799,583.140015,0.38293,0.417897,0.458333,0.0,0.809667,63471.0,0.294619,1.070001,0.044228,0.278113,-0.043696,0.158897,7.01334,-0.1,-0.001,-0.01,-0.02,-0.2,0.287247,-0.002753,-0.006243,-0.005,-0.000343,-0.310081,-0.111384,-0.017572,0.417244,-0.062722,-0.025533,-0.133124,-0.07159,0.35446,0.030736,-0.105942,-0.026929,-0.029239,3.5,0.028325,0.172293,0.203065
26,29.941727,615.280029,0.41569,0.449213,0.909091,0.0,0.804465,65138.0,0.313958,1.191533,0.045521,0.284005,-0.045251,0.153776,7.029552,-0.1,-0.001,-0.01,-0.02,-0.2,0.304721,-0.002922,-0.006482,-0.009529,-0.000349,-0.328243,-0.117465,-0.018332,0.429192,-0.06672,-0.027484,-0.141357,-0.072109,0.352159,0.030673,-0.112193,-0.022272,-0.013747,3.727273,0.026847,0.220704,0.243288
27,30.18195,611.98999,0.416297,0.438116,0.913043,0.0,0.799962,65397.0,0.311164,1.161904,0.049304,0.274564,-0.045625,0.164943,7.056943,-0.1,-0.001,-0.01,-0.02,-0.2,0.303788,-0.002881,-0.006288,-0.008106,-0.000343,-0.322681,-0.117051,-0.018407,0.434373,-0.065887,-0.027642,-0.138982,-0.070882,0.392004,0.031561,-0.110311,-0.032833,-0.028323,3.695652,0.02453,0.197333,0.22062
28,30.248362,614.76001,0.443449,0.46972,1.458333,0.0,0.794831,63166.0,0.329895,1.196012,0.049988,0.306725,-0.049151,0.175248,7.05833,-0.1,-0.001,-0.01,-0.02,-0.2,0.317268,-0.003015,-0.006564,-0.010206,-0.000382,-0.331037,-0.120017,-0.01912,0.463525,-0.06853,-0.027811,-0.147803,-0.079561,0.382086,0.034402,-0.113405,-0.032249,-0.029471,3.333333,0.026351,0.216871,0.261208
29,32.975937,654.109985,0.429862,0.470137,1.0,0.0,0.790859,64724.0,0.325507,1.234105,0.052403,0.303951,-0.050126,0.186725,7.084466,-0.1,-0.001,-0.01,-0.02,-0.2,0.322487,-0.003064,-0.007158,-0.008575,-0.00037,-0.335414,-0.124366,-0.019273,0.462828,-0.070102,-0.029453,-0.150386,-0.077504,0.414996,0.033672,-0.11499,-0.039665,-0.035047,3.666667,0.028436,0.224458,0.237364
30,32.98745,646.080017,0.446096,0.48987,1.041667,0.0,0.786861,64375.0,0.325716,1.215426,0.049773,0.289691,-0.046355,0.172159,7.105533,-0.1,-0.001,-0.01,-0.02,-0.2,0.323919,-0.003084,-0.006874,-0.009976,-0.000357,-0.335343,-0.12259,-0.019249,0.448473,-0.068805,-0.028879,-0.145899,-0.075728,0.420132,0.035443,-0.115038,-0.041885,-0.030826,3.208333,0.026457,0.22272,0.237991
31,34.763859,674.75,0.47227,0.493666,1.416667,0.0,0.783452,63842.0,0.33699,1.24586,0.055341,0.304763,-0.051582,0.186354,7.121495,-0.1,-0.001,-0.01,-0.02,-0.2,0.330804,-0.003073,-0.006551,-0.013696,-0.000368,-0.338458,-0.126163,-0.019358,0.471528,-0.071893,-0.029868,-0.154213,-0.077992,0.414858,0.034334,-0.116114,-0.03899,-0.025808,2.791667,0.025666,0.237037,0.30467
