iteration,reward,episode_length,height_reward,upright_reward,tipped_over,collapsed,exploration,steps_per_second,speed_error,turn_error,stepping,leg_swing,dragging,ground_covered,landing_force,Curriculum/ease_in_effort/weight,Curriculum/ease_in_landing/weight,Curriculum/ease_in_shake/weight,Curriculum/ease_in_smoothness/weight,Curriculum/ease_in_steadiness/weight,Curriculum/ease_in_straightness/weight,Episode_Reward/alive,Episode_Reward/effort,Episode_Reward/end_stops,Episode_Reward/even_stance,Episode_Reward/fell_over,Episode_Reward/hard_landing,Episode_Reward/jitter,Episode_Reward/joint_shock,Episode_Reward/landing_speed,Episode_Reward/posture,Episode_Reward/rocking,Episode_Reward/shaking,Episode_Reward/skidding,Episode_Reward/swing_height,Episode_Reward/track_speed,Episode_Reward/track_turn,Episode_Reward/twitching,Episode_Reward/veering,Episode_Reward/wandering,Episode_Termination/nose_dived,Episode_Termination/out_of_bounds,Episode_Termination/time_out,Metrics/posture/error_height,Metrics/posture/error_pitch,Metrics/posture/error_roll
7524,114.00824,628.409973,0.52656,0.516709,0.375,0.041667,0.067443,50426.0,0.106917,0.176713,0.097949,0.194071,-0.032362,0.385649,10.277529,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.314316,-0.094642,-0.009986,0.0,-0.003625,-0.068041,-0.0132,-0.008561,-0.01716,0.505439,-0.054109,-0.095505,-0.006597,-0.016185,1.142968,2.672773,-0.049437,-0.000745,-0.141069,0.125,0.0,3.666667,0.059479,0.101907,0.175068
7525,111.972481,623.289978,0.506985,0.503043,0.391304,0.0,0.067675,53659.0,0.124434,0.206132,0.099083,0.194735,-0.033627,0.372568,10.037725,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.31651,-0.095049,-0.014642,0.0,-0.005081,-0.072372,-0.013801,-0.00955,-0.018042,0.503374,-0.059407,-0.092173,-0.00752,-0.018158,1.112183,2.637938,-0.052291,-0.001042,-0.125355,0.217391,0.0,4.26087,0.080945,0.159764,0.20466
7526,125.548592,688.690002,0.56605,0.566429,0.375,0.0,0.067912,54951.0,0.116925,0.190676,0.103731,0.205722,-0.036525,0.408739,10.182522,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.342306,-0.105257,-0.010578,0.0,-0.003384,-0.084826,-0.01458,-0.009786,-0.020535,0.567494,-0.055323,-0.091148,-0.008316,-0.021709,1.236852,2.918407,-0.055111,-0.001336,-0.179105,0.0,0.0,3.958333,0.050041,0.125165,0.185095
7527,125.131187,698.75,0.562092,0.592349,0.458333,0.0,0.068252,54438.0,0.128756,0.201449,0.118133,0.229395,-0.038868,0.450356,10.08304,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.352451,-0.104057,-0.010238,0.0,-0.003538,-0.082076,-0.015179,-0.010568,-0.020545,0.582341,-0.056151,-0.096901,-0.008841,-0.020338,1.258312,2.980292,-0.0587,-0.00128,-0.206685,0.125,0.0,4.5,0.070628,0.116551,0.171065
7528,128.509949,722.090027,0.55899,0.585752,0.291667,0.0,0.068355,55127.0,0.14594,0.213916,0.103847,0.225618,-0.03921,0.410236,10.155054,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.361949,-0.11435,-0.013123,0.0,-0.003333,-0.100319,-0.015918,-0.011234,-0.023081,0.585645,-0.057703,-0.107596,-0.010008,-0.024736,1.254895,3.047147,-0.062869,-0.002323,-0.182128,0.083333,0.0,3.708333,0.057613,0.141027,0.189329
7529,137.102768,766.359985,0.618811,0.637949,0.208333,0.0,0.068538,54777.0,0.12941,0.224837,0.117408,0.229158,-0.041079,0.448987,10.120913,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.382704,-0.11356,-0.011481,0.0,-0.003546,-0.094438,-0.017149,-0.011787,-0.023929,0.633743,-0.069069,-0.117538,-0.009654,-0.024847,1.390969,3.213822,-0.065815,-0.001474,-0.205037,0.208333,0.0,4.166667,0.108157,0.121111,0.162276
7530,132.9655,751.780029,0.601835,0.637817,0.333333,0.0,0.068853,54720.0,0.12929,0.219198,0.115217,0.237986,-0.040079,0.451295,10.268989,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.379183,-0.113019,-0.013148,0.0,-0.003476,-0.087006,-0.01697,-0.01163,-0.023425,0.612401,-0.065034,-0.112523,-0.009011,-0.021242,1.375623,3.195568,-0.063716,-0.001139,-0.238127,0.083333,0.0,4.0,0.084406,0.100124,0.178
7531,135.016968,773.169983,0.622079,0.630781,0.291667,0.0,0.06918,54587.0,0.14666,0.234054,0.126799,0.262874,-0.045061,0.48732,10.27774,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.389697,-0.1207,-0.01402,0.0,-0.003862,-0.110923,-0.018345,-0.013764,-0.02701,0.63627,-0.074266,-0.115929,-0.010835,-0.026459,1.381985,3.233161,-0.072098,-0.001616,-0.350958,0.25,0.0,4.333333,0.124567,0.136175,0.18436
7532,136.982147,787.02002,0.64879,0.653447,0.434783,0.043478,0.069443,54973.0,0.154422,0.240315,0.128345,0.274497,-0.050282,0.510096,10.08057,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.399362,-0.127091,-0.017507,0.0,-0.006185,-0.106267,-0.019027,-0.014037,-0.027353,0.64186,-0.087849,-0.132118,-0.011482,-0.023934,1.407331,3.318665,-0.080085,-0.003301,-0.268317,0.347826,0.0,3.956522,0.089779,0.162414,0.179409
7533,147.406891,838.330017,0.688234,0.689851,0.434783,0.0,0.069495,55553.0,0.165334,0.245473,0.133305,0.272606,-0.045916,0.520707,10.068024,-0.02,-0.8,-0.02,-0.25,-0.6,-2.0,0.41589,-0.125563,-0.013792,0.0,-0.004687,-0.111163,-0.018969,-0.013505,-0.027833,0.675895,-0.074193,-0.129761,-0.011823,-0.028055,1.457991,3.467416,-0.073135,-0.002873,-0.346241,0.130435,0.0,4.521739,0.114047,0.149726,0.201139
