iteration,reward,episode_length,height_reward,upright_reward,tipped_over,collapsed,exploration,steps_per_second,speed_error,turn_error,stepping,leg_swing,dragging,ground_covered,landing_force,Curriculum/ease_in_effort/weight,Curriculum/ease_in_landing/weight,Curriculum/ease_in_shake/weight,Curriculum/ease_in_smoothness/weight,Curriculum/ease_in_steadiness/weight,Curriculum/ease_in_straightness/weight,Episode_Reward/alive,Episode_Reward/effort,Episode_Reward/end_stops,Episode_Reward/even_stance,Episode_Reward/fell_over,Episode_Reward/hard_landing,Episode_Reward/hips_home,Episode_Reward/jitter,Episode_Reward/joint_shock,Episode_Reward/landing_speed,Episode_Reward/posture,Episode_Reward/rocking,Episode_Reward/shaking,Episode_Reward/skidding,Episode_Reward/swing_height,Episode_Reward/track_speed,Episode_Reward/track_turn,Episode_Reward/twitching,Episode_Reward/veering,Episode_Reward/wandering,Episode_Termination/nose_dived,Episode_Termination/time_out,Metrics/posture/error_height,Metrics/posture/error_pitch,Metrics/posture/error_roll
7518,97.253731,518.669983,0.40253,0.430537,0.0,0.0,0.058237,79455.0,0.088515,0.124806,0.095312,0.188475,-0.030457,0.347365,7.234753,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.258247,-0.078984,-0.006275,0.0,-0.000333,-0.041817,-0.099288,-0.010036,-0.00806,-0.014648,0.424385,-0.021934,-0.056735,-0.004517,-0.013554,0.92837,2.277235,-0.046164,-0.001094,-0.080203,0.041667,4.708333,0.023187,0.092129,0.15127
7519,100.822159,541.530029,0.446908,0.462459,0.0,0.0,0.058141,80199.0,0.103759,0.136181,0.103767,0.212287,-0.038095,0.368084,7.184766,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.270251,-0.077703,-0.010516,0.0,0.0,-0.052773,-0.092599,-0.011567,-0.010368,-0.01828,0.436052,-0.024681,-0.07102,-0.005558,-0.018822,0.936106,2.358187,-0.056437,-0.00078,-0.089163,0.0,4.291667,0.020573,0.072633,0.125621
7520,106.482277,563.099976,0.473334,0.470219,0.0,0.0,0.058101,80718.0,0.092389,0.138831,0.100391,0.184657,-0.032723,0.358202,7.217055,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.282252,-0.079616,-0.007541,0.0,0.0,-0.045143,-0.070324,-0.010815,-0.008145,-0.015434,0.469884,-0.023038,-0.060152,-0.004383,-0.015533,1.022951,2.49098,-0.04749,-0.000885,-0.091887,0.0,4.0,0.016872,0.075009,0.137748
7521,111.616127,588.830017,0.471573,0.491894,0.0,0.0,0.058207,79349.0,0.093999,0.150431,0.106846,0.203827,-0.03469,0.387386,7.155128,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.294252,-0.087353,-0.005897,0.0,0.0,-0.04687,-0.046998,-0.011408,-0.00946,-0.016708,0.486028,-0.026359,-0.066532,-0.005245,-0.014836,1.073337,2.570251,-0.050134,-0.00078,-0.072387,0.0,4.583333,0.01946,0.076851,0.129208
7522,111.901535,613.429993,0.478014,0.502499,0.0,0.0,0.058161,68680.0,0.117108,0.153942,0.108456,0.23098,-0.041958,0.400944,7.179942,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.306252,-0.098326,-0.010331,0.0,0.0,-0.05709,-0.14048,-0.013164,-0.012172,-0.020148,0.491542,-0.027719,-0.073617,-0.006527,-0.018403,1.063532,2.67332,-0.064478,-0.001044,-0.145438,0.0,4.458333,0.022312,0.085566,0.133595
7523,117.30793,633.909973,0.515859,0.559622,0.0,0.0,0.058219,69537.0,0.107443,0.152858,0.112043,0.214006,-0.036858,0.411189,7.177184,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.31685,-0.097672,-0.00679,0.0,-0.000556,-0.051479,-0.110854,-0.012146,-0.009499,-0.017565,0.529689,-0.0267,-0.066333,-0.005433,-0.017804,1.137037,2.799089,-0.054736,-0.00118,-0.173106,0.041667,3.875,0.021121,0.085814,0.098476
7524,121.214256,660.030029,0.53323,0.552815,0.0,0.0,0.058303,71594.0,0.114729,0.162141,0.123737,0.234338,-0.043246,0.418161,7.1623,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.330307,-0.097679,-0.011216,0.0,0.0,-0.060044,-0.136188,-0.013871,-0.011758,-0.021171,0.534515,-0.028632,-0.076822,-0.006089,-0.019493,1.18431,2.903492,-0.064911,-0.001077,-0.143848,0.0,4.043478,0.021896,0.078589,0.148959
7525,127.896523,684.799988,0.556005,0.568237,0.0,0.0,0.058267,76228.0,0.110718,0.173683,0.115894,0.229084,-0.04128,0.421897,7.137998,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.342068,-0.105584,-0.009443,0.0,0.0,-0.057428,-0.105756,-0.013782,-0.011238,-0.021026,0.558974,-0.029097,-0.075639,-0.006104,-0.019428,1.239731,3.002028,-0.062455,-0.001106,-0.126149,0.0,5.043478,0.021908,0.084133,0.132732
7526,131.973724,709.679993,0.589203,0.601119,0.0,0.0,0.058331,79607.0,0.110651,0.173885,0.127875,0.243662,-0.043809,0.47623,7.131401,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.354253,-0.113152,-0.008943,0.0,0.0,-0.058941,-0.106621,-0.014037,-0.011281,-0.020977,0.588095,-0.028944,-0.07323,-0.005847,-0.018902,1.294694,3.127738,-0.063993,-0.001369,-0.185518,0.0,4.25,0.018824,0.07554,0.107758
7527,135.539917,734.630005,0.590049,0.621019,0.0,0.0,0.058425,81907.0,0.115529,0.181738,0.131117,0.262129,-0.045685,0.495988,7.122828,-0.02,-0.8,-0.02,-0.25,-0.6,-4.0,0.366286,-0.115543,-0.008621,0.0,0.0,-0.061504,-0.117501,-0.014675,-0.012327,-0.022411,0.601915,-0.030437,-0.080074,-0.006037,-0.018947,1.336723,3.226878,-0.068994,-0.001753,-0.188039,0.0,4.608696,0.018876,0.077116,0.113435
