iteration,reward,episode_length,height_reward,upright_reward,tipped_over,collapsed,exploration,steps_per_second,speed_error,turn_error,stepping,leg_swing,dragging,ground_covered,landing_force
66,67.522331,979.210022,0.862208,0.886103,0.055556,0.0,0.742077,51587.0,0.357468,1.633433,0.101979,0.459796,-0.12578,0.650188,8.395057
67,67.083939,964.47998,0.769846,0.799393,0.294118,0.0,0.740469,55440.0,0.317955,1.452896,0.089213,0.414856,-0.11005,0.580566,8.387758
68,68.00367,967.570007,0.859615,0.898028,0.0625,0.0,0.738145,56091.0,0.354469,1.641327,0.103158,0.453941,-0.123703,0.622136,8.380006
69,68.248177,960.099976,0.86246,0.890774,0.133333,0.0,0.735926,59022.0,0.343153,1.593261,0.095711,0.446815,-0.119582,0.660393,8.380177
70,68.395195,968.419983,0.886904,0.92119,0.0625,0.0,0.734635,58071.0,0.34077,1.649044,0.090494,0.472,-0.126086,0.617399,8.406269
71,70.6884,978.109985,0.901261,0.933198,0.0,0.0,0.732863,56887.0,0.342158,1.665666,0.094612,0.494061,-0.133618,0.844318,8.44183
72,72.983765,987.080017,0.903468,0.928887,0.055556,0.0,0.730434,55527.0,0.342335,1.660001,0.094542,0.46992,-0.128483,0.7416,8.400322
73,75.257179,991.070007,0.874811,0.898503,0.111111,0.0,0.72884,50208.0,0.333982,1.582861,0.094276,0.461891,-0.122827,0.730598,8.410112
74,73.329079,985.929993,0.881143,0.908861,0.058824,0.0,0.727646,57187.0,0.319088,1.59473,0.088596,0.458484,-0.121977,0.624434,8.392864
75,72.524849,985.929993,0.888691,0.926548,0.0,0.0,0.725576,62899.0,0.328784,1.623314,0.08878,0.512913,-0.135688,0.492568,8.429268
76,75.083832,986.590027,0.907173,0.932816,0.052632,0.0,0.723755,49147.0,0.324192,1.626459,0.094702,0.480555,-0.130396,0.777959,8.381096
77,74.953506,990.72998,0.911081,0.936841,0.0,0.0,0.722949,52795.0,0.318407,1.60636,0.091458,0.48475,-0.13027,0.648678,8.421912
