iteration,reward,episode_length,height_reward,upright_reward,tipped_over,collapsed,exploration,steps_per_second,speed_error,turn_error,stepping,leg_swing,dragging,ground_covered,landing_force
77,27.929558,946.200012,0.831371,0.860013,0.227273,0.0,0.822065,46751.0,0.34945,1.652981,0.113607,0.490477,-0.123141,0.400715,8.339527
78,25.710945,961.73999,0.876564,0.907517,0.157895,0.0,0.82292,48936.0,0.363086,1.711394,0.10962,0.472896,-0.118627,0.480621,8.367987
79,21.955723,967.059998,0.840909,0.871621,0.173913,0.0,0.824066,45232.0,0.361041,1.695532,0.108297,0.488357,-0.121836,0.454307,8.390129
80,24.026655,970.460022,0.858319,0.88145,0.157895,0.0,0.826487,48403.0,0.352302,1.655145,0.112417,0.513807,-0.128449,0.439401,8.378528
81,20.742916,954.940002,0.85221,0.880439,0.411765,0.0,0.825879,49965.0,0.340952,1.637409,0.106588,0.483131,-0.120595,0.443428,8.413877
82,20.423449,961.22998,0.863377,0.895142,0.25,0.0,0.82755,49054.0,0.346155,1.678074,0.107461,0.459027,-0.113087,0.423972,8.405996
83,23.299551,951.419983,0.823573,0.850873,0.4,0.0,0.828868,50744.0,0.347157,1.633753,0.110479,0.451103,-0.111881,0.452599,8.459194
84,21.944336,975.599976,0.881881,0.91161,0.090909,0.0,0.829815,48993.0,0.352525,1.737004,0.11437,0.519039,-0.129096,0.436807,8.417805
85,21.858976,990.039978,0.878956,0.908454,0.130435,0.0,0.831426,42091.0,0.363688,1.752906,0.119225,0.510173,-0.126406,0.427357,8.42173
86,15.708504,983.460022,0.887837,0.918118,0.25,0.0,0.832937,49038.0,0.354758,1.723596,0.11523,0.498209,-0.123818,0.422209,8.389603
87,20.704279,975.780029,0.883078,0.914311,0.25,0.0,0.833123,48288.0,0.352496,1.724549,0.114127,0.50362,-0.1253,0.443129,8.401758
88,18.182655,986.099976,0.873621,0.908017,0.333333,0.0,0.834991,46373.0,0.351945,1.717594,0.110208,0.483959,-0.11823,0.432873,8.413088
89,19.235348,986.659973,0.887106,0.917807,0.208333,0.0,0.833568,49510.0,0.353023,1.73711,0.116967,0.512633,-0.126538,0.461762,8.411216
90,15.84556,990.809998,0.888292,0.918859,0.083333,0.0,0.834638,49103.0,0.359585,1.740136,0.117178,0.514499,-0.126292,0.429592,8.406624
91,11.68232,983.48999,0.889406,0.917379,0.166667,0.0,0.834924,50985.0,0.350485,1.726025,0.114758,0.505062,-0.125053,0.46021,8.411283
92,19.239264,985.77002,0.882931,0.913372,0.125,0.0,0.836295,50277.0,0.345904,1.709749,0.114009,0.48434,-0.118324,0.473189,8.470592
93,18.420389,966.849976,0.864778,0.896504,0.25,0.0,0.837324,49734.0,0.347382,1.708522,0.114989,0.512966,-0.125536,0.425214,8.463746
94,23.869068,962.25,0.840877,0.871688,0.25,0.0,0.837303,44185.0,0.338291,1.653198,0.110859,0.491675,-0.118706,0.419277,8.436647
95,10.031414,980.809998,0.872928,0.902591,0.090909,0.0,0.837552,52555.0,0.339772,1.706331,0.115738,0.499507,-0.121694,0.442029,8.442996
96,13.353936,943.01001,0.838078,0.869299,0.416667,0.0,0.837902,48054.0,0.337724,1.67152,0.11018,0.507547,-0.124057,0.423501,8.449676
