iteration,reward,episode_length,tilt_penalty,tipped_over,collapsed,exploration,steps_per_second
151,65.738037,1000.0,-0.017126,0.0,0.0,0.285302,92465.0
152,65.919151,1000.0,-0.017791,0.0,0.0,0.283235,95859.0
153,65.909409,1000.0,-0.017083,0.0,0.0,0.281579,36726.0
154,66.224358,1000.0,-0.017065,0.0,0.0,0.280308,5088.0
155,66.319641,1000.0,-0.017061,0.0,0.0,0.277465,85062.0
156,66.459099,1000.0,-0.01698,0.0,0.0,0.275412,83477.0
157,66.655441,1000.0,-0.016782,0.0,0.0,0.274002,84095.0
158,66.634674,1000.0,-0.016611,0.0,0.0,0.271742,81479.0
159,66.636261,1000.0,-0.016527,0.0,0.0,0.269775,79751.0
160,66.850708,1000.0,-0.016406,0.0,0.0,0.268419,76620.0
161,66.930984,1000.0,-0.01597,0.0,0.0,0.266682,89742.0
162,66.983109,1000.0,-0.016267,0.0,0.0,0.264484,96618.0
163,67.12571,1000.0,-0.01614,0.0,0.0,0.262469,92970.0
164,67.254158,1000.0,-0.01597,0.0,0.0,0.261043,84049.0
165,67.334572,1000.0,-0.01556,0.0,0.0,0.259142,81682.0
166,67.369118,1000.0,-0.01575,0.0,0.0,0.257979,91980.0
167,67.448853,1000.0,-0.015628,0.041667,0.0,0.255866,85691.0
168,67.702332,1000.0,-0.015436,0.0,0.0,0.254336,84240.0
169,67.745735,1000.0,-0.015201,0.0,0.0,0.252932,90899.0
170,67.880287,1000.0,-0.015259,0.0,0.0,0.251285,95572.0
171,67.933937,1000.0,-0.01515,0.0,0.0,0.250088,86044.0
172,67.987701,1000.0,-0.015121,0.0,0.0,0.249197,88384.0
173,68.117584,1000.0,-0.014948,0.0,0.0,0.247518,85566.0
174,68.134018,1000.0,-0.014716,0.0,0.0,0.246083,87104.0
175,68.260551,1000.0,-0.014651,0.0,0.0,0.244966,84293.0
176,68.264351,1000.0,-0.014582,0.0,0.0,0.242578,81481.0
177,68.348305,1000.0,-0.015632,0.041667,0.0,0.240915,88938.0
178,68.411285,1000.0,-0.014367,0.0,0.0,0.239472,84521.0
179,67.895126,992.409973,-0.014467,0.041667,0.0,0.238093,84083.0
180,68.521423,1000.0,-0.014342,0.0,0.0,0.236745,81870.0
181,68.611,1000.0,-0.014145,0.0,0.0,0.235656,83185.0
182,68.706718,1000.0,-0.01385,0.0,0.0,0.234638,80341.0
183,68.929192,1000.0,-0.013905,0.0,0.0,0.232665,88315.0
184,68.953156,1000.0,-0.013617,0.0,0.0,0.231481,83359.0
185,68.9655,1000.0,-0.013538,0.0,0.0,0.229462,79416.0
186,69.027496,1000.0,-0.013526,0.0,0.0,0.228132,92650.0
187,68.725815,995.179993,-0.013512,0.041667,0.0,0.227169,81594.0
188,69.249519,1000.0,-0.013194,0.0,0.0,0.226196,91689.0
189,69.201492,1000.0,-0.013173,0.0,0.0,0.224928,94287.0
