iteration,reward,episode_length,height_reward,upright_reward,tipped_over,collapsed,exploration,steps_per_second,speed_error
97,63.340721,983.419983,0.909206,0.934574,0.086957,0.0,0.666923,43356.0,0.310409
98,66.656334,996.719971,0.923743,0.951122,0.047619,0.0,0.665211,50709.0,0.309171
99,67.966896,976.840027,0.904515,0.926855,0.130435,0.0,0.664063,46994.0,0.302373
100,67.924988,985.400024,0.911758,0.935142,0.045455,0.0,0.66211,44640.0,0.307049
101,68.061165,1000.0,0.929688,0.954013,0.0,0.0,0.66035,48041.0,0.311698
102,61.838299,980.119995,0.90582,0.927197,0.136364,0.0,0.657886,45192.0,0.300934
103,63.530087,980.22998,0.913714,0.94061,0.047619,0.0,0.656668,41239.0,0.303389
104,63.643307,992.900024,0.922459,0.948513,0.045455,0.0,0.654834,45145.0,0.307022
105,65.315773,981.450012,0.911256,0.936631,0.095238,0.0,0.653895,45989.0,0.30496
106,66.496796,976.090027,0.905369,0.925319,0.047619,0.0,0.652938,44629.0,0.296852
107,65.181335,994.25,0.916516,0.946248,0.0,0.0,0.650788,51239.0,0.318167
108,63.231014,994.25,0.930761,0.951461,0.0,0.0,0.650647,49898.0,0.29492
109,62.935894,1000.0,0.924512,0.952919,0.0,0.0,0.648959,31206.0,0.300487
110,66.548752,989.880005,0.903177,0.931225,0.117647,0.0,0.648632,32427.0,0.311739
111,67.287506,985.030029,0.922401,0.948312,0.05,0.0,0.647959,35096.0,0.299784
112,65.08667,985.27002,0.906027,0.93014,0.05,0.0,0.646375,42538.0,0.300353
113,61.344738,981.400024,0.912437,0.932977,0.095238,0.0,0.645128,50083.0,0.299988
114,62.471188,982.059998,0.900183,0.922163,0.095238,0.0,0.644775,44715.0,0.293133
115,64.060883,978.669983,0.92365,0.945943,0.05,0.0,0.644199,51324.0,0.294476
116,65.540634,987.960022,0.920695,0.953506,0.0,0.0,0.643355,56362.0,0.313247
117,64.103157,987.960022,0.927329,0.950516,0.0,0.0,0.642868,56927.0,0.305092
118,62.820309,995.5,0.917566,0.94488,0.125,0.0,0.640372,58589.0,0.302539
119,62.413361,988.659973,0.89434,0.918269,0.058824,0.0,0.639772,55406.0,0.281563
120,62.289433,988.659973,0.92952,0.954767,0.0,0.0,0.639331,51805.0,0.312404
121,63.025089,986.73999,0.895731,0.918701,0.05,0.0,0.638812,46755.0,0.28849
122,63.239971,991.630005,0.922545,0.950306,0.076923,0.0,0.637752,59343.0,0.305466
123,59.839733,980.369995,0.877521,0.900699,0.1,0.0,0.637424,53094.0,0.28225
124,60.082561,978.109985,0.920558,0.94354,0.0625,0.0,0.635539,54596.0,0.295721
125,61.55566,988.390015,0.921205,0.950273,0.090909,0.0,0.635241,45247.0,0.302052
